model,theta_sd,theta_range_seeds,theta,abs_theta,se_total,pass_rate,pass_extremity,n_admin_criteria,n_admin_scenarios,frac_informative_items,deployed_hit_cap,low_info_unstable,weakly_identified
allenai/OLMo-1B-hf,0.612547,1.806304,-6.751779,6.751779,0.357427,0.002277,0.002277,8345,985,0.0141,True,True,True
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.381396,0.867605,-5.322923,5.322923,0.234375,0.00695,0.00695,8345,985,0.0212,True,False,True
OpenBMB/MiniCPM4-0.5B,0.332542,1.027528,-0.34756,0.34756,0.060551,0.168604,0.168604,8345,985,0.4145,False,False,False
tiiuae/Falcon3-3B-Instruct,0.285642,0.926594,2.199625,2.199625,0.008808,0.579868,0.420132,8345,985,0.5784,False,False,False
ibm-granite/granite-7b-instruct,0.275168,0.857049,0.252325,0.252325,0.052446,0.289275,0.289275,8345,985,0.5138,False,False,False
Qwen/Qwen1.5-1.8B,0.265748,0.638909,-2.31902,2.31902,0.081213,0.037867,0.037867,8345,985,0.1148,False,False,False
01-ai/Yi-6B-200K,0.249119,0.65443,-2.166711,2.166711,0.076525,0.065908,0.065908,8345,985,0.1281,False,False,False
Qwen/Qwen2.5-0.5B-Instruct,0.239394,0.74267,-0.112266,0.112266,0.017576,0.194847,0.194847,8345,985,0.4606,False,False,False
Qwen/Qwen2-0.5B,0.222726,0.697275,-2.308928,2.308928,0.084207,0.041222,0.041222,8345,985,0.1153,False,False,False
ai-forever/mGPT,0.218017,0.565582,-6.222301,6.222301,0.313034,0.002516,0.002516,8345,985,0.0159,True,False,True
BEE-spoke-data/smol_llama-220M-openhermes,0.214577,0.653117,-4.643319,4.643319,0.18881,0.008029,0.008029,8345,985,0.03,True,False,True
ibm-granite/granite-3.1-2b-instruct,0.167932,0.572254,2.399633,2.399633,3e-05,0.644578,0.355422,8345,985,0.6177,False,False,False
allenai/OLMo-2-0425-1B-DPO,0.159086,0.481977,1.393508,1.393508,0.036652,0.446482,0.446482,8343,985,0.5944,False,False,False
01-ai/Yi-6B-Chat,0.158074,0.48215,0.847437,0.847437,0.060243,0.361218,0.361218,8344,985,0.5724,False,False,False
arcee-ai/raspberry-3B,0.147179,0.463321,1.171187,1.171187,0.039617,0.413541,0.413541,8345,985,0.5935,False,False,False
meta-llama/Llama-3.2-3B-Instruct,0.136096,0.345722,2.293122,2.293122,0.036726,0.59293,0.40707,8345,985,0.6398,False,False,False
01-ai/Yi-1.5-6B,0.131789,0.396762,-0.377018,0.377018,0.019166,0.200839,0.200839,8345,985,0.4054,False,False,False
h2oai/h2o-danube2-1.8b-base,0.127553,0.318343,-1.246958,1.246958,0.063351,0.10713,0.10713,8345,985,0.2339,False,False,False
01-ai/Yi-6B,0.123352,0.385673,-1.339213,1.339213,0.061528,0.109886,0.109886,8345,985,0.2222,False,False,False
pankajmathur/orca_mini_v9_5_3B-Instruct,0.119566,0.354649,1.408198,1.408198,0.037507,0.471061,0.471061,8345,985,0.6029,False,False,False
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.116474,0.355491,2.699103,2.699103,1.1e-05,0.701378,0.298622,8345,985,0.5623,False,False,False
01-ai/Yi-1.5-6B-Chat,0.109277,0.290477,2.095514,2.095514,0.003856,0.551588,0.448412,8345,985,0.5904,False,False,False
HuggingFaceTB/SmolLM2-360M,0.107794,0.258887,-2.840029,2.840029,0.103988,0.029718,0.029718,8345,985,0.0806,False,False,False
stabilityai/stablelm-2-zephyr-1_6b,0.107436,0.351257,0.443416,0.443416,0.046731,0.294068,0.294068,8345,985,0.5315,False,False,False
allenai/OLMo-2-0425-1B,0.105558,0.306384,-2.406894,2.406894,0.083003,0.049286,0.049286,8339,985,0.1089,False,False,False
BSC-LT/salamandra-2b,0.10248,0.25563,-2.190769,2.190769,0.072461,0.058119,0.058119,8345,985,0.1263,False,False,False
Qwen/Qwen1.5-1.8B-Chat,0.09618,0.296283,0.270253,0.270253,0.015869,0.261896,0.261896,8343,985,0.5134,False,False,False
meta-llama/Llama-3.2-1B,0.095111,0.258633,-2.48551,2.48551,0.090077,0.04985,0.04985,8345,985,0.102,False,False,False
BSC-LT/salamandra-7b-instruct,0.092991,0.25097,0.343336,0.343336,0.046244,0.309527,0.309527,8345,985,0.5315,False,False,False
h2oai/h2o-danube2-1.8b-chat,0.092671,0.246002,-0.253748,0.253748,0.044599,0.196548,0.196548,8344,985,0.4346,False,False,False
google/gemma-2b,0.088525,0.249804,-2.190391,2.190391,0.070176,0.058718,0.058718,8345,985,0.1265,False,False,False
nvidia/AceInstruct-1.5B,0.088047,0.234373,1.472798,1.472798,0.01688,0.469559,0.469559,8344,985,0.6117,False,False,False
tiiuae/Falcon3-1B-Instruct,0.081367,0.27754,0.869441,0.869441,0.021326,0.354344,0.354344,8345,985,0.5703,False,False,False
pankajmathur/orca_mini_3b,0.07861,0.218944,-0.906227,0.906227,0.024969,0.124626,0.124626,8345,985,0.2954,False,False,False
