atlas_idx,item_id,subtask,question_id
1,ifeval|0,ifeval,0
2,ifeval|1,ifeval,1
3,ifeval|10,ifeval,10
4,ifeval|100,ifeval,100
5,ifeval|101,ifeval,101
6,ifeval|102,ifeval,102
7,ifeval|103,ifeval,103
8,ifeval|104,ifeval,104
9,ifeval|105,ifeval,105
10,ifeval|106,ifeval,106
11,ifeval|107,ifeval,107
12,ifeval|108,ifeval,108
13,ifeval|109,ifeval,109
14,ifeval|11,ifeval,11
15,ifeval|110,ifeval,110
16,ifeval|111,ifeval,111
17,ifeval|112,ifeval,112
18,ifeval|113,ifeval,113
19,ifeval|114,ifeval,114
20,ifeval|116,ifeval,116
21,ifeval|117,ifeval,117
22,ifeval|118,ifeval,118
23,ifeval|119,ifeval,119
24,ifeval|12,ifeval,12
25,ifeval|120,ifeval,120
26,ifeval|121,ifeval,121
27,ifeval|122,ifeval,122
28,ifeval|123,ifeval,123
29,ifeval|124,ifeval,124
30,ifeval|125,ifeval,125
31,ifeval|126,ifeval,126
32,ifeval|127,ifeval,127
33,ifeval|128,ifeval,128
34,ifeval|129,ifeval,129
35,ifeval|13,ifeval,13
36,ifeval|130,ifeval,130
37,ifeval|131,ifeval,131
38,ifeval|132,ifeval,132
39,ifeval|133,ifeval,133
40,ifeval|134,ifeval,134
41,ifeval|135,ifeval,135
42,ifeval|136,ifeval,136
43,ifeval|137,ifeval,137
44,ifeval|138,ifeval,138
45,ifeval|139,ifeval,139
46,ifeval|14,ifeval,14
47,ifeval|140,ifeval,140
48,ifeval|141,ifeval,141
49,ifeval|142,ifeval,142
50,ifeval|143,ifeval,143
51,ifeval|144,ifeval,144
52,ifeval|145,ifeval,145
53,ifeval|146,ifeval,146
54,ifeval|147,ifeval,147
55,ifeval|148,ifeval,148
56,ifeval|149,ifeval,149
57,ifeval|15,ifeval,15
58,ifeval|150,ifeval,150
59,ifeval|151,ifeval,151
60,ifeval|152,ifeval,152
61,ifeval|153,ifeval,153
62,ifeval|154,ifeval,154
63,ifeval|155,ifeval,155
64,ifeval|156,ifeval,156
65,ifeval|157,ifeval,157
66,ifeval|158,ifeval,158
67,ifeval|159,ifeval,159
68,ifeval|16,ifeval,16
69,ifeval|160,ifeval,160
70,ifeval|161,ifeval,161
