question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_7175875,allenai/OLMo-2-1124-7B,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_409171,allenai/OLMo-2-1124-7B,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_408547,allenai/OLMo-2-1124-7B,arc_challenge,B,C,wrong,loglikelihood
Mercury_407327,allenai/OLMo-2-1124-7B,arc_challenge,D,D,correct,loglikelihood
MCAS_2006_9_44,allenai/OLMo-2-1124-7B,arc_challenge,B,D,wrong,loglikelihood
Mercury_7270393,allenai/OLMo-2-1124-7B,arc_challenge,C,B,wrong,loglikelihood
MCAS_2014_5_7,allenai/OLMo-2-1124-7B,arc_challenge,C,C,correct,loglikelihood
Mercury_7086660,allenai/OLMo-2-1124-7B,arc_challenge,C,C,correct,loglikelihood
Mercury_7168805,allenai/OLMo-2-1124-7B,arc_challenge,B,B,correct,loglikelihood
MCAS_2003_8_11,allenai/OLMo-2-1124-7B,arc_challenge,A,A,correct,loglikelihood
Mercury_7250058,allenai/OLMo-2-1124-7B,arc_challenge,C,B,wrong,loglikelihood
Mercury_7012740,allenai/OLMo-2-1124-7B,arc_challenge,A,A,correct,loglikelihood
Mercury_LBS10610,allenai/OLMo-2-1124-7B,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_407400,allenai/OLMo-2-1124-7B,arc_challenge,D,C,wrong,loglikelihood
Mercury_7212993,allenai/OLMo-2-1124-7B,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_413240,allenai/OLMo-2-1124-7B,arc_challenge,A,A,correct,loglikelihood
Mercury_7186358,allenai/OLMo-2-1124-7B,arc_challenge,B,C,wrong,loglikelihood
Mercury_7166425,allenai/OLMo-2-1124-7B,arc_challenge,B,B,correct,loglikelihood
MDSA_2007_8_3,allenai/OLMo-2-1124-7B,arc_challenge,A,A,correct,loglikelihood
Mercury_7094290,allenai/OLMo-2-1124-7B,arc_challenge,D,C,wrong,loglikelihood
Mercury_7186568,allenai/OLMo-2-1124-7B,arc_challenge,D,B,wrong,loglikelihood
Mercury_402216,allenai/OLMo-2-1124-7B,arc_challenge,B,B,correct,loglikelihood
Mercury_404894,allenai/OLMo-2-1124-7B,arc_challenge,C,A,wrong,loglikelihood
MCAS_2002_8_11,allenai/OLMo-2-1124-7B,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_405086,allenai/OLMo-2-1124-7B,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_408324,allenai/OLMo-2-1124-7B,arc_challenge,D,D,correct,loglikelihood
Mercury_7218820,allenai/OLMo-2-1124-7B,arc_challenge,D,B,wrong,loglikelihood
Mercury_412202,allenai/OLMo-2-1124-7B,arc_challenge,C,B,wrong,loglikelihood
Mercury_SC_409139,allenai/OLMo-2-1124-7B,arc_challenge,B,C,wrong,loglikelihood
Mercury_400687,allenai/OLMo-2-1124-7B,arc_challenge,B,B,correct,loglikelihood
Mercury_7171605,allenai/OLMo-2-1124-7B,arc_challenge,D,D,correct,loglikelihood
Mercury_7210245,allenai/OLMo-2-1124-7B,arc_challenge,C,C,correct,loglikelihood
AKDE&ED_2008_4_25,allenai/OLMo-2-1124-7B,arc_challenge,A,A,correct,loglikelihood
AKDE&ED_2008_4_19,allenai/OLMo-2-1124-7B,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_400402,allenai/OLMo-2-1124-7B,arc_challenge,D,A,wrong,loglikelihood
Mercury_7234308,allenai/OLMo-2-1124-7B,arc_challenge,B,A,wrong,loglikelihood
ACTAAP_2014_5_8,allenai/OLMo-2-1124-7B,arc_challenge,B,B,correct,loglikelihood
Mercury_400407,allenai/OLMo-2-1124-7B,arc_challenge,A,B,wrong,loglikelihood
Mercury_7116288,allenai/OLMo-2-1124-7B,arc_challenge,C,C,correct,loglikelihood
MCAS_2004_9_15-v1,allenai/OLMo-2-1124-7B,arc_challenge,C,B,wrong,loglikelihood
NYSEDREGENTS_2015_4_26,allenai/OLMo-2-1124-7B,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_401620,allenai/OLMo-2-1124-7B,arc_challenge,D,A,wrong,loglikelihood
Mercury_400877,allenai/OLMo-2-1124-7B,arc_challenge,A,C,wrong,loglikelihood
Mercury_7174213,allenai/OLMo-2-1124-7B,arc_challenge,A,D,wrong,loglikelihood
NYSEDREGENTS_2008_8_34,allenai/OLMo-2-1124-7B,arc_challenge,B,B,correct,loglikelihood
Mercury_7212398,allenai/OLMo-2-1124-7B,arc_challenge,C,B,wrong,loglikelihood
Mercury_SC_401290,allenai/OLMo-2-1124-7B,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_402120,allenai/OLMo-2-1124-7B,arc_challenge,C,C,correct,loglikelihood
Mercury_184975,allenai/OLMo-2-1124-7B,arc_challenge,B,C,wrong,loglikelihood
Mercury_SC_400578,allenai/OLMo-2-1124-7B,arc_challenge,D,A,wrong,loglikelihood
MCAS_2001_8_4,allenai/OLMo-2-1124-7B,arc_challenge,A,D,wrong,loglikelihood
MCAS_2003_5_33,allenai/OLMo-2-1124-7B,arc_challenge,D,C,wrong,loglikelihood
Mercury_7068513,allenai/OLMo-2-1124-7B,arc_challenge,A,A,correct,loglikelihood
AKDE&ED_2008_4_26,allenai/OLMo-2-1124-7B,arc_challenge,C,C,correct,loglikelihood
Mercury_7235638,allenai/OLMo-2-1124-7B,arc_challenge,A,C,wrong,loglikelihood
MDSA_2009_5_20,allenai/OLMo-2-1124-7B,arc_challenge,C,B,wrong,loglikelihood
Mercury_178325,allenai/OLMo-2-1124-7B,arc_challenge,D,C,wrong,loglikelihood
Mercury_7212678,allenai/OLMo-2-1124-7B,arc_challenge,A,A,correct,loglikelihood
TAKS_2009_8_32,allenai/OLMo-2-1124-7B,arc_challenge,B,A,wrong,loglikelihood
Mercury_412681,allenai/OLMo-2-1124-7B,arc_challenge,D,C,wrong,loglikelihood
Mercury_400440,allenai/OLMo-2-1124-7B,arc_challenge,D,D,correct,loglikelihood
Mercury_SC_416529,allenai/OLMo-2-1124-7B,arc_challenge,B,B,correct,loglikelihood
MCAS_2006_8_1,allenai/OLMo-2-1124-7B,arc_challenge,D,D,correct,loglikelihood
TIMSS_2003_8_pg80,allenai/OLMo-2-1124-7B,arc_challenge,C,C,correct,loglikelihood
Mercury_416645,allenai/OLMo-2-1124-7B,arc_challenge,C,D,wrong,loglikelihood
Mercury_406777,allenai/OLMo-2-1124-7B,arc_challenge,A,A,correct,loglikelihood
Mercury_LBS11018,allenai/OLMo-2-1124-7B,arc_challenge,B,A,wrong,loglikelihood
Mercury_7139878,allenai/OLMo-2-1124-7B,arc_challenge,D,C,wrong,loglikelihood
