question_id,model,benchmark,predicted,gold,result,scoring_method
sciq_00000,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00001,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00002,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,D,wrong,loglikelihood
sciq_00003,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00004,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00005,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00006,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00007,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00008,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00009,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00010,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00011,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,A,wrong,loglikelihood
sciq_00012,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00013,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00014,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00015,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00016,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,C,wrong,loglikelihood
sciq_00017,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00018,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00019,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00020,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00021,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,B,wrong,loglikelihood
sciq_00022,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,B,wrong,loglikelihood
sciq_00023,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00024,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,C,wrong,loglikelihood
sciq_00025,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00026,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,A,wrong,loglikelihood
sciq_00027,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00028,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00029,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00030,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,B,wrong,loglikelihood
sciq_00031,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,A,wrong,loglikelihood
sciq_00032,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00033,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,A,wrong,loglikelihood
sciq_00034,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00035,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00036,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00037,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,B,wrong,loglikelihood
sciq_00038,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,D,wrong,loglikelihood
sciq_00039,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,D,wrong,loglikelihood
sciq_00040,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00041,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00042,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,D,wrong,loglikelihood
sciq_00043,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00044,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00045,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,A,wrong,loglikelihood
sciq_00046,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00047,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00048,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,C,wrong,loglikelihood
sciq_00049,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00050,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00051,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00052,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,B,wrong,loglikelihood
sciq_00053,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,C,wrong,loglikelihood
sciq_00054,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00055,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00056,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00057,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00058,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,A,wrong,loglikelihood
sciq_00059,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,B,wrong,loglikelihood
sciq_00060,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00061,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00062,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00063,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,C,wrong,loglikelihood
sciq_00064,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00065,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,C,wrong,loglikelihood
sciq_00066,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00067,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00068,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,A,wrong,loglikelihood
sciq_00069,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,C,wrong,loglikelihood
sciq_00070,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00071,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00072,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00073,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00074,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00075,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,D,wrong,loglikelihood
sciq_00076,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,D,wrong,loglikelihood
sciq_00077,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00078,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00079,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,A,wrong,loglikelihood
sciq_00080,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00081,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,A,wrong,loglikelihood
sciq_00082,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00083,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00084,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,A,wrong,loglikelihood
sciq_00085,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,C,wrong,loglikelihood
sciq_00086,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00087,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,B,wrong,loglikelihood
sciq_00088,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,A,wrong,loglikelihood
sciq_00089,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00090,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00091,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00092,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00093,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00094,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00095,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00096,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00097,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,C,wrong,loglikelihood
sciq_00098,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,D,wrong,loglikelihood
sciq_00099,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00100,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,D,wrong,loglikelihood
sciq_00101,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00102,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,A,wrong,loglikelihood
sciq_00103,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,C,wrong,loglikelihood
sciq_00104,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00105,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00106,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00107,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,D,wrong,loglikelihood
sciq_00108,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00109,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00110,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,C,wrong,loglikelihood
sciq_00111,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00112,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00113,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00114,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00115,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00116,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00117,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,D,wrong,loglikelihood
sciq_00118,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00119,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,A,wrong,loglikelihood
sciq_00120,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00121,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00122,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,C,wrong,loglikelihood
sciq_00123,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00124,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00125,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00126,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,A,wrong,loglikelihood
sciq_00127,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00128,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00129,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,D,wrong,loglikelihood
sciq_00130,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00131,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00132,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00133,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,B,wrong,loglikelihood
sciq_00134,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00135,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00136,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00137,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00138,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00139,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00140,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,A,wrong,loglikelihood
sciq_00141,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00142,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00143,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00144,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00145,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,D,correct,loglikelihood
sciq_00146,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,B,wrong,loglikelihood
sciq_00147,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00148,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00149,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,A,wrong,loglikelihood
sciq_00150,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,A,wrong,loglikelihood
sciq_00151,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00152,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00153,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,C,wrong,loglikelihood
sciq_00154,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00155,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,B,wrong,loglikelihood
sciq_00156,nvidia/Nemotron-Mini-4B-Instruct,sciq,D,C,wrong,loglikelihood
sciq_00157,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,D,wrong,loglikelihood
sciq_00158,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00159,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,A,correct,loglikelihood
sciq_00160,nvidia/Nemotron-Mini-4B-Instruct,sciq,B,B,correct,loglikelihood
sciq_00161,nvidia/Nemotron-Mini-4B-Instruct,sciq,C,C,correct,loglikelihood
sciq_00162,nvidia/Nemotron-Mini-4B-Instruct,sciq,A,C,wrong,loglikelihood
