model,online_scenarios,online_criteria,online_SE_ability,online_reached,online_SE_param,online_SE_total,eap_scenarios,eap_criteria,eap_SE_ability,eap_reached,eap_hit_cap,eap_SE_param,eap_SE_total
01-ai/Yi-1.5-6B,12,210,0.0868,True,0.0313,0.0922,12,210,0.0868,True,False,0.0352,0.0936
01-ai/Yi-1.5-6B-Chat,12,205,0.0863,True,0.0672,0.1094,12,205,0.0863,True,False,0.063,0.1069
01-ai/Yi-6B,12,217,0.1085,True,0.0433,0.1168,12,217,0.1085,True,False,0.0415,0.1161
01-ai/Yi-6B-200K,12,215,0.1088,True,0.0546,0.1217,12,215,0.1088,True,False,0.0551,0.1219
01-ai/Yi-6B-Chat,12,219,0.0947,True,0.0376,0.1019,12,219,0.0947,True,False,0.0384,0.1022
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,12,205,0.1633,False,0.1074,0.1955,14,241,0.1474,True,False,0.1119,0.1851
BEE-spoke-data/smol_llama-220M-openhermes,12,209,0.1706,False,0.1203,0.2087,15,264,0.1483,True,False,0.0955,0.1764
BSC-LT/salamandra-2b,13,226,0.142,True,0.1005,0.174,12,208,0.1447,True,False,0.1047,0.1786
BSC-LT/salamandra-2b-instruct,12,218,0.0945,True,0.0313,0.0996,12,218,0.0945,True,False,0.0275,0.0984
BSC-LT/salamandra-7b,12,219,0.096,True,0.0517,0.1091,12,219,0.096,True,False,0.0569,0.1116
BSC-LT/salamandra-7b-instruct,12,214,0.0852,True,0.0473,0.0975,12,214,0.0852,True,False,0.0481,0.0979
HuggingFaceTB/SmolLM2-360M,12,214,0.1682,False,0.0636,0.1798,18,320,0.1482,True,False,0.102,0.1798
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,12,211,0.0839,True,0.0405,0.0932,12,211,0.0839,True,False,0.036,0.0913
OpenBMB/MiniCPM4-0.5B,12,210,0.0875,True,0.0276,0.0917,12,210,0.0875,True,False,0.0323,0.0933
Qwen/Qwen1.5-1.8B,12,215,0.3836,False,0.2797,0.4747,45,791,0.15,True,False,0.1362,0.2026
Qwen/Qwen1.5-1.8B-Chat,12,213,0.1315,True,0.0518,0.1414,12,213,0.1315,True,False,0.048,0.14
Qwen/Qwen2-0.5B,12,208,0.1636,False,0.099,0.1912,16,279,0.1428,True,False,0.1097,0.1801
Qwen/Qwen2.5-0.5B-Instruct,12,212,0.0863,True,0.0313,0.0918,12,212,0.0863,True,False,0.0284,0.0908
ai-forever/mGPT,12,218,0.2101,False,0.1082,0.2363,20,355,0.1479,True,False,0.0907,0.1735
allenai/OLMo-1B-hf,12,210,0.3164,False,0.2113,0.3804,47,820,0.1492,True,False,0.1382,0.2034
allenai/OLMo-2-0425-1B,12,216,0.121,True,0.0438,0.1287,12,216,0.121,True,False,0.0415,0.1279
allenai/OLMo-2-0425-1B-DPO,12,212,0.0842,True,0.053,0.0995,12,212,0.0842,True,False,0.051,0.0984
allenai/OLMo-2-0425-1B-Instruct,12,213,0.0868,True,0.0403,0.0957,12,213,0.0868,True,False,0.035,0.0936
arcee-ai/raspberry-3B,12,211,0.0814,True,0.0571,0.0994,12,211,0.0814,True,False,0.0578,0.0998
google/gemma-2-2b,12,218,0.0869,True,0.0308,0.0922,12,218,0.0869,True,False,0.0283,0.0914
google/gemma-2b,14,250,0.1495,True,0.059,0.1607,14,250,0.1495,True,False,0.0634,0.1624
h2oai/h2o-danube-1.8b-chat,12,218,0.128,True,0.0534,0.1387,12,218,0.128,True,False,0.0426,0.1349
h2oai/h2o-danube2-1.8b-base,12,210,0.138,True,0.0523,0.1476,12,210,0.138,True,False,0.0546,0.1484
