question_id,model,benchmark,predicted,gold,result,scoring_method
sciq_00000,stabilityai/stablelm-2-zephyr-1_6b,sciq,C,C,correct,loglikelihood
sciq_00001,stabilityai/stablelm-2-zephyr-1_6b,sciq,B,D,wrong,loglikelihood
sciq_00002,stabilityai/stablelm-2-zephyr-1_6b,sciq,A,D,wrong,loglikelihood
sciq_00003,stabilityai/stablelm-2-zephyr-1_6b,sciq,C,C,correct,loglikelihood
sciq_00004,stabilityai/stablelm-2-zephyr-1_6b,sciq,D,D,correct,loglikelihood
sciq_00005,stabilityai/stablelm-2-zephyr-1_6b,sciq,C,C,correct,loglikelihood
sciq_00006,stabilityai/stablelm-2-zephyr-1_6b,sciq,B,B,correct,loglikelihood
sciq_00007,stabilityai/stablelm-2-zephyr-1_6b,sciq,D,D,correct,loglikelihood
sciq_00008,stabilityai/stablelm-2-zephyr-1_6b,sciq,C,C,correct,loglikelihood
sciq_00009,stabilityai/stablelm-2-zephyr-1_6b,sciq,A,D,wrong,loglikelihood
sciq_00010,stabilityai/stablelm-2-zephyr-1_6b,sciq,D,D,correct,loglikelihood
sciq_00011,stabilityai/stablelm-2-zephyr-1_6b,sciq,D,A,wrong,loglikelihood
sciq_00012,stabilityai/stablelm-2-zephyr-1_6b,sciq,C,C,correct,loglikelihood
sciq_00013,stabilityai/stablelm-2-zephyr-1_6b,sciq,B,B,correct,loglikelihood
sciq_00014,stabilityai/stablelm-2-zephyr-1_6b,sciq,D,D,correct,loglikelihood
sciq_00015,stabilityai/stablelm-2-zephyr-1_6b,sciq,A,A,correct,loglikelihood
sciq_00016,stabilityai/stablelm-2-zephyr-1_6b,sciq,B,C,wrong,loglikelihood
sciq_00017,stabilityai/stablelm-2-zephyr-1_6b,sciq,B,D,wrong,loglikelihood
sciq_00018,stabilityai/stablelm-2-zephyr-1_6b,sciq,D,C,wrong,loglikelihood
sciq_00019,stabilityai/stablelm-2-zephyr-1_6b,sciq,C,C,correct,loglikelihood
sciq_00020,stabilityai/stablelm-2-zephyr-1_6b,sciq,A,D,wrong,loglikelihood
sciq_00021,stabilityai/stablelm-2-zephyr-1_6b,sciq,A,B,wrong,loglikelihood
sciq_00022,stabilityai/stablelm-2-zephyr-1_6b,sciq,B,B,correct,loglikelihood
sciq_00023,stabilityai/stablelm-2-zephyr-1_6b,sciq,B,B,correct,loglikelihood
sciq_00024,stabilityai/stablelm-2-zephyr-1_6b,sciq,B,C,wrong,loglikelihood
sciq_00025,stabilityai/stablelm-2-zephyr-1_6b,sciq,B,D,wrong,loglikelihood
sciq_00026,stabilityai/stablelm-2-zephyr-1_6b,sciq,C,A,wrong,loglikelihood
sciq_00027,stabilityai/stablelm-2-zephyr-1_6b,sciq,D,B,wrong,loglikelihood
sciq_00028,stabilityai/stablelm-2-zephyr-1_6b,sciq,B,B,correct,loglikelihood
sciq_00029,stabilityai/stablelm-2-zephyr-1_6b,sciq,D,A,wrong,loglikelihood
sciq_00030,stabilityai/stablelm-2-zephyr-1_6b,sciq,A,B,wrong,loglikelihood
sciq_00031,stabilityai/stablelm-2-zephyr-1_6b,sciq,A,A,correct,loglikelihood
sciq_00032,stabilityai/stablelm-2-zephyr-1_6b,sciq,A,D,wrong,loglikelihood
sciq_00033,stabilityai/stablelm-2-zephyr-1_6b,sciq,A,A,correct,loglikelihood
sciq_00034,stabilityai/stablelm-2-zephyr-1_6b,sciq,B,B,correct,loglikelihood
sciq_00035,stabilityai/stablelm-2-zephyr-1_6b,sciq,A,A,correct,loglikelihood
sciq_00036,stabilityai/stablelm-2-zephyr-1_6b,sciq,A,A,correct,loglikelihood
sciq_00037,stabilityai/stablelm-2-zephyr-1_6b,sciq,B,B,correct,loglikelihood
