col_index,criterion_id,scenario_id,criticality,criterion
0,bgb_0000_c01,bgb_0000,,The itinerary includes Eiffel Tower.
1,bgb_0000_c02,bgb_0000,,The itinerary includes Louvre Museum.
2,bgb_0000_c03,bgb_0000,,The itinerary includes Escargot.
3,bgb_0000_c04,bgb_0000,,The itinerary includes Croissant.
4,bgb_0000_c05,bgb_0000,,The itinerary includes Onion Soup.
5,bgb_0000_c06,bgb_0000,,The itinerary includes Notre Dame Cathedral.
6,bgb_0000_c07,bgb_0000,,The itinerary uses only the stated transportation (Walk).
7,bgb_0000_c08,bgb_0000,,The itinerary fits the stated duration (2 days and 1 night).
8,bgb_0001_c01,bgb_0001,,The plan produces a Taipei itinerary covering 3 days and 2 nights.
9,bgb_0001_c02,bgb_0001,,The itinerary includes trying bubble tea.
10,bgb_0001_c03,bgb_0001,,The itinerary includes trying xiaolongbao (soup dumplings).
11,bgb_0001_c04,bgb_0001,,The itinerary includes trying beef noodles.
12,bgb_0001_c05,bgb_0001,,The dining recommendations emphasize cheap eats / budget-friendly food.
13,bgb_0001_c06,bgb_0001,,The itinerary dedicates one day to a long-distance day trip outside central Taipei.
14,bgb_0002_c01,bgb_0002,,The plan produces a Budapest itinerary covering 2 days and 2 nights.
15,bgb_0002_c02,bgb_0002,,"The planned activities convey an energetic, dynamic experience."
16,bgb_0002_c03,bgb_0002,,"The itinerary reflects a luxurious, premium budget (e.g., high-end dining, accommodations, or activities)."
17,bgb_0002_c04,bgb_0002,,The itinerary includes standout premium experiences appropriate to Budapest.
18,bgb_0003_c01,bgb_0003,,The itinerary includes Tokyo Tower.
19,bgb_0003_c02,bgb_0003,,The itinerary includes Tsukiji Fish Market.
20,bgb_0003_c03,bgb_0003,,The itinerary includes Ramen Tasting.
21,bgb_0003_c04,bgb_0003,,The itinerary includes Sumo Wrestling Match.
22,bgb_0003_c05,bgb_0003,,The itinerary includes Akihabara Electronics District.
23,bgb_0003_c06,bgb_0003,,The itinerary uses only the stated transportation (Public Transit).
24,bgb_0003_c07,bgb_0003,,The itinerary fits the stated duration (4 days and 3 nights).
25,bgb_0004_c01,bgb_0004,,The itinerary includes Gyeongbokgung Palace.
26,bgb_0004_c02,bgb_0004,,The itinerary includes N Seoul Tower.
27,bgb_0004_c03,bgb_0004,,The itinerary includes Bukchon Hanok Village.
28,bgb_0004_c04,bgb_0004,,The itinerary includes Shopping in Myeong-dong.
29,bgb_0004_c05,bgb_0004,,The itinerary includes Visit to a Jjimjilbang (Korean Spa).
30,bgb_0004_c06,bgb_0004,,The itinerary uses only the stated transportation (Subway and Walking).
31,bgb_0004_c07,bgb_0004,,The itinerary fits the stated duration (3 days and 2 nights).
32,bgb_0004_c08,bgb_0004,,The itinerary satisfies the stated food constraints: Vegetarian.
33,bgb_0005_c01,bgb_0005,,The itinerary includes Snorkeling with sea lions.
34,bgb_0005_c02,bgb_0005,,The itinerary includes Visit to the Charles Darwin Research Station.
35,bgb_0005_c03,bgb_0005,,The itinerary includes Hiking on Isabela Island.
36,bgb_0005_c04,bgb_0005,,The itinerary includes Scuba diving near Wolf and Darwin islands.
37,bgb_0005_c05,bgb_0005,,The itinerary includes Bird watching in North Seymour.
38,bgb_0005_c06,bgb_0005,,The itinerary includes Kayaking in Puerto Ayora.
39,bgb_0005_c07,bgb_0005,,The itinerary uses only the stated transportation (Boat and walking).
40,bgb_0005_c08,bgb_0005,,The itinerary fits the stated duration (7 days and 6 nights).
41,bgb_0005_c09,bgb_0005,,The itinerary satisfies the stated special requests: Eco-friendly accommodations.
42,bgb_0006_c01,bgb_0006,,The itinerary includes Tea ceremony experience.
43,bgb_0006_c02,bgb_0006,,The itinerary includes Visit Kinkaku-ji (the Golden Pavilion).
44,bgb_0006_c03,bgb_0006,,The itinerary includes Participate in a Zen meditation session.
45,bgb_0006_c04,bgb_0006,,The itinerary includes Kaiseki dinner.
46,bgb_0006_c05,bgb_0006,,The itinerary includes Nijo Castle tour.
47,bgb_0006_c06,bgb_0006,,The itinerary includes Gion district evening walk.
48,bgb_0006_c07,bgb_0006,,The itinerary uses only the stated transportation (Public Transit and Walking).
49,bgb_0006_c08,bgb_0006,,The itinerary fits the stated duration (5 days and 4 nights).
50,bgb_0006_c09,bgb_0006,,The itinerary satisfies the stated special interests: Vegetarian dining options.
51,bgb_0007_c01,bgb_0007,,The itinerary includes Visit to ALMA Observatory.
52,bgb_0007_c02,bgb_0007,,The itinerary includes Moon Valley sunset tour.
53,bgb_0007_c03,bgb_0007,,The itinerary includes Stargazing session with high-powered telescopes.
54,bgb_0007_c04,bgb_0007,,The itinerary includes Guided visit to the Atacamenian villages.
55,bgb_0007_c05,bgb_0007,,The itinerary includes Thermal springs at Puritama.
56,bgb_0007_c06,bgb_0007,,The itinerary includes Sandboarding in Death Valley.
57,bgb_0007_c07,bgb_0007,,The itinerary uses only the stated transportation (4x4 Vehicle and Walking).
58,bgb_0007_c08,bgb_0007,,The itinerary fits the stated duration (6 days and 5 nights).
59,bgb_0007_c09,bgb_0007,,The itinerary satisfies the stated additional preferences: Photography opportunities.
60,bgb_0008_c01,bgb_0008,,The itinerary includes Tour of Machu Picchu.
61,bgb_0008_c02,bgb_0008,,The itinerary includes Exploration of the Sacred Valley.
62,bgb_0008_c03,bgb_0008,,The itinerary includes Visit to the Nazca Lines.
63,bgb_0008_c04,bgb_0008,,The itinerary includes Museum visits in Lima.
64,bgb_0008_c05,bgb_0008,,The itinerary includes Guided tour of Cusco's historic center.
65,bgb_0008_c06,bgb_0008,,The itinerary includes Pisco tasting session.
66,bgb_0008_c08,bgb_0008,,The itinerary fits the stated duration (8 days and 7 nights).
67,bgb_0008_c09,bgb_0008,,The itinerary satisfies the stated special requests: Engagement with local communities.
68,bgb_0009_c01,bgb_0009,,The itinerary includes Visit to the State Hermitage Museum.
69,bgb_0009_c02,bgb_0009,,The itinerary includes Tour of the Pushkin House (Institute of Russian Literature).
70,bgb_0009_c03,bgb_0009,,The itinerary includes Walk through the historical streets of Dostoevsky’s St. Petersburg.
71,bgb_0009_c04,bgb_0009,,The itinerary includes Evening at the Mariinsky Theatre.
72,bgb_0009_c05,bgb_0009,,The itinerary includes Visit to the Peter and Paul Fortress.
73,bgb_0009_c06,bgb_0009,,The itinerary includes Exploration of the Russian Museum.
74,bgb_0009_c08,bgb_0009,,The itinerary fits the stated duration (4 days and 3 nights).
75,bgb_0009_c09,bgb_0009,,The itinerary satisfies the stated unique aspects: Interaction with local historians.
76,bgb_0010_c01,bgb_0010,,"The schedule includes all three tasks: preparing the Friday presentation, responding to emails, and reviewing the quarterly financial report."
77,bgb_0010_c02,bgb_0010,,The schedule places the 10 AM team meeting and the 2 PM dentist appointment at their stated times.
78,bgb_0010_c03,bgb_0010,,The schedule includes a 30-minute morning jog.
79,bgb_0010_c04,bgb_0010,,Creative or cognitively demanding work is placed in the morning.
80,bgb_0010_c05,bgb_0010,,The schedule includes a lunch break around 1 PM and a short walk in the early evening.
81,bgb_0010_c06,bgb_0010,,The schedule includes picking up the children from school at 4 PM.
82,bgb_0010_c07,bgb_0010,,No work-related tasks are scheduled after 6 PM.
83,bgb_0010_c08,bgb_0010,,"The overall schedule is realistic, free of time conflicts, and logically sequenced."
84,bgb_0011_c01,bgb_0011,,"The schedule includes all three tasks: brainstorming project ideas, drafting the client proposal, and working on the personal side project."
85,bgb_0011_c02,bgb_0011,,The schedule places the 10:30 AM client meeting and the 6 PM networking event at their stated times.
86,bgb_0011_c03,bgb_0011,,Creative work is placed during the late-morning creativity peak.
87,bgb_0011_c04,bgb_0011,,The schedule includes a leisurely lunch around 1 PM.
88,bgb_0011_c05,bgb_0011,,The schedule includes an afternoon meditation/relaxation break.
89,bgb_0011_c06,bgb_0011,,No work-related tasks are scheduled after 8 PM.
90,bgb_0011_c07,bgb_0011,,"The overall schedule is realistic, free of time conflicts, and logically sequenced."
