question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_417466,microsoft/Phi-3.5-mini-instruct,arc_easy,A,A,correct,loglikelihood
Mercury_7081673,microsoft/Phi-3.5-mini-instruct,arc_easy,A,B,wrong,loglikelihood
Mercury_7239733,microsoft/Phi-3.5-mini-instruct,arc_easy,C,D,wrong,loglikelihood
NYSEDREGENTS_2015_4_8,microsoft/Phi-3.5-mini-instruct,arc_easy,D,D,correct,loglikelihood
Mercury_7037258,microsoft/Phi-3.5-mini-instruct,arc_easy,D,B,wrong,loglikelihood
CSZ20679,microsoft/Phi-3.5-mini-instruct,arc_easy,C,C,correct,loglikelihood
Mercury_7216668,microsoft/Phi-3.5-mini-instruct,arc_easy,C,C,correct,loglikelihood
MCAS_2001_5_19,microsoft/Phi-3.5-mini-instruct,arc_easy,B,C,wrong,loglikelihood
Mercury_SC_413631,microsoft/Phi-3.5-mini-instruct,arc_easy,B,A,wrong,loglikelihood
Mercury_7166145,microsoft/Phi-3.5-mini-instruct,arc_easy,C,B,wrong,loglikelihood
MSA_2013_5_6,microsoft/Phi-3.5-mini-instruct,arc_easy,D,B,wrong,loglikelihood
Mercury_SC_405199,microsoft/Phi-3.5-mini-instruct,arc_easy,A,B,wrong,loglikelihood
NYSEDREGENTS_2015_8_28,microsoft/Phi-3.5-mini-instruct,arc_easy,B,B,correct,loglikelihood
Mercury_SC_401777,microsoft/Phi-3.5-mini-instruct,arc_easy,B,B,correct,loglikelihood
Mercury_7198188,microsoft/Phi-3.5-mini-instruct,arc_easy,B,B,correct,loglikelihood
MCAS_1998_4_11,microsoft/Phi-3.5-mini-instruct,arc_easy,D,D,correct,loglikelihood
Mercury_SC_LBS10784,microsoft/Phi-3.5-mini-instruct,arc_easy,D,B,wrong,loglikelihood
Mercury_7033548,microsoft/Phi-3.5-mini-instruct,arc_easy,D,D,correct,loglikelihood
Mercury_7146195,microsoft/Phi-3.5-mini-instruct,arc_easy,A,D,wrong,loglikelihood
NCEOGA_2013_8_36,microsoft/Phi-3.5-mini-instruct,arc_easy,D,D,correct,loglikelihood
Mercury_SC_415412,microsoft/Phi-3.5-mini-instruct,arc_easy,B,D,wrong,loglikelihood
Mercury_SC_408362,microsoft/Phi-3.5-mini-instruct,arc_easy,A,B,wrong,loglikelihood
MDSA_2008_8_35,microsoft/Phi-3.5-mini-instruct,arc_easy,B,C,wrong,loglikelihood
NYSEDREGENTS_2015_8_21,microsoft/Phi-3.5-mini-instruct,arc_easy,B,B,correct,loglikelihood
VASoL_2008_5_12,microsoft/Phi-3.5-mini-instruct,arc_easy,B,B,correct,loglikelihood
Mercury_SC_LBS10680,microsoft/Phi-3.5-mini-instruct,arc_easy,A,A,correct,loglikelihood
MCAS_2003_5_3,microsoft/Phi-3.5-mini-instruct,arc_easy,C,B,wrong,loglikelihood
Mercury_7074900,microsoft/Phi-3.5-mini-instruct,arc_easy,C,C,correct,loglikelihood
Mercury_SC_408762,microsoft/Phi-3.5-mini-instruct,arc_easy,A,A,correct,loglikelihood
ACTAAP_2015_5_8,microsoft/Phi-3.5-mini-instruct,arc_easy,A,A,correct,loglikelihood
Mercury_7263008,microsoft/Phi-3.5-mini-instruct,arc_easy,D,C,wrong,loglikelihood
CSZ_2008_5_CSZ10233,microsoft/Phi-3.5-mini-instruct,arc_easy,D,D,correct,loglikelihood
Mercury_7128660,microsoft/Phi-3.5-mini-instruct,arc_easy,C,C,correct,loglikelihood
Mercury_7100520,microsoft/Phi-3.5-mini-instruct,arc_easy,D,C,wrong,loglikelihood
Mercury_7017728,microsoft/Phi-3.5-mini-instruct,arc_easy,B,B,correct,loglikelihood
Mercury_7032865,microsoft/Phi-3.5-mini-instruct,arc_easy,A,A,correct,loglikelihood
Mercury_405057,microsoft/Phi-3.5-mini-instruct,arc_easy,D,B,wrong,loglikelihood
Mercury_7057593,microsoft/Phi-3.5-mini-instruct,arc_easy,A,A,correct,loglikelihood
Mercury_SC_405231,microsoft/Phi-3.5-mini-instruct,arc_easy,C,C,correct,loglikelihood
VASoL_2007_5_38,microsoft/Phi-3.5-mini-instruct,arc_easy,A,A,correct,loglikelihood
Mercury_SC_410895,microsoft/Phi-3.5-mini-instruct,arc_easy,D,D,correct,loglikelihood
Mercury_7015978,microsoft/Phi-3.5-mini-instruct,arc_easy,D,D,correct,loglikelihood
ACTAAP_2010_5_5,microsoft/Phi-3.5-mini-instruct,arc_easy,D,C,wrong,loglikelihood
Mercury_7080955,microsoft/Phi-3.5-mini-instruct,arc_easy,C,D,wrong,loglikelihood
ACTAAP_2009_5_4,microsoft/Phi-3.5-mini-instruct,arc_easy,D,D,correct,loglikelihood
Mercury_7017010,microsoft/Phi-3.5-mini-instruct,arc_easy,D,A,wrong,loglikelihood
Mercury_7146108,microsoft/Phi-3.5-mini-instruct,arc_easy,B,B,correct,loglikelihood
NYSEDREGENTS_2012_4_12,microsoft/Phi-3.5-mini-instruct,arc_easy,C,C,correct,loglikelihood
VASoL_2009_5_3,microsoft/Phi-3.5-mini-instruct,arc_easy,A,A,correct,loglikelihood
Mercury_SC_401253,microsoft/Phi-3.5-mini-instruct,arc_easy,C,C,correct,loglikelihood
Mercury_7235953,microsoft/Phi-3.5-mini-instruct,arc_easy,B,B,correct,loglikelihood
Mercury_403974,microsoft/Phi-3.5-mini-instruct,arc_easy,D,D,correct,loglikelihood
Mercury_7241063,microsoft/Phi-3.5-mini-instruct,arc_easy,C,C,correct,loglikelihood
MCAS_2010_8_12015,microsoft/Phi-3.5-mini-instruct,arc_easy,B,B,correct,loglikelihood
Mercury_SC_402980,microsoft/Phi-3.5-mini-instruct,arc_easy,D,B,wrong,loglikelihood
Mercury_417126,microsoft/Phi-3.5-mini-instruct,arc_easy,B,D,wrong,loglikelihood
NYSEDREGENTS_2010_8_2,microsoft/Phi-3.5-mini-instruct,arc_easy,D,D,correct,loglikelihood
NYSEDREGENTS_2010_8_13,microsoft/Phi-3.5-mini-instruct,arc_easy,B,B,correct,loglikelihood
Mercury_7200533,microsoft/Phi-3.5-mini-instruct,arc_easy,A,A,correct,loglikelihood
Mercury_SC_400707,microsoft/Phi-3.5-mini-instruct,arc_easy,B,B,correct,loglikelihood
Mercury_SC_400380,microsoft/Phi-3.5-mini-instruct,arc_easy,D,B,wrong,loglikelihood
Mercury_7205590,microsoft/Phi-3.5-mini-instruct,arc_easy,A,A,correct,loglikelihood
NYSEDREGENTS_2015_4_30,microsoft/Phi-3.5-mini-instruct,arc_easy,B,B,correct,loglikelihood
NYSEDREGENTS_2012_4_17,microsoft/Phi-3.5-mini-instruct,arc_easy,D,A,wrong,loglikelihood
Mercury_SC_408436,microsoft/Phi-3.5-mini-instruct,arc_easy,B,B,correct,loglikelihood
LEAP_2005_8_10403,microsoft/Phi-3.5-mini-instruct,arc_easy,A,D,wrong,loglikelihood
Mercury_7108045,microsoft/Phi-3.5-mini-instruct,arc_easy,C,B,wrong,loglikelihood
Mercury_SC_402251,microsoft/Phi-3.5-mini-instruct,arc_easy,B,B,correct,loglikelihood
Mercury_7071418,microsoft/Phi-3.5-mini-instruct,arc_easy,C,B,wrong,loglikelihood
