question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_7175875,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,A,C,wrong,loglikelihood
Mercury_SC_409171,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,C,B,wrong,loglikelihood
Mercury_SC_408547,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,B,C,wrong,loglikelihood
Mercury_407327,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,D,D,correct,loglikelihood
MCAS_2006_9_44,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,C,D,wrong,loglikelihood
Mercury_7270393,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,C,B,wrong,loglikelihood
MCAS_2014_5_7,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,C,C,correct,loglikelihood
Mercury_7086660,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,D,C,wrong,loglikelihood
Mercury_7168805,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,A,B,wrong,loglikelihood
MCAS_2003_8_11,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,C,A,wrong,loglikelihood
Mercury_7250058,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,C,B,wrong,loglikelihood
Mercury_7012740,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,C,A,wrong,loglikelihood
Mercury_LBS10610,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,B,C,wrong,loglikelihood
Mercury_SC_407400,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,B,C,wrong,loglikelihood
Mercury_7212993,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,D,C,wrong,loglikelihood
Mercury_SC_413240,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,A,A,correct,loglikelihood
Mercury_7186358,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,B,C,wrong,loglikelihood
Mercury_7166425,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,C,B,wrong,loglikelihood
MDSA_2007_8_3,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,C,A,wrong,loglikelihood
Mercury_7094290,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,D,C,wrong,loglikelihood
Mercury_7186568,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,D,B,wrong,loglikelihood
Mercury_402216,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,B,B,correct,loglikelihood
Mercury_404894,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,C,A,wrong,loglikelihood
MCAS_2002_8_11,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,B,C,wrong,loglikelihood
Mercury_SC_405086,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,C,B,wrong,loglikelihood
Mercury_SC_408324,deepseek-ai/deepseek-coder-6.7b-base,arc_challenge,B,D,wrong,loglikelihood
