rank,model,theta_conceptual_understanding,se_online_conceptual_understanding,scorable_evals_conceptual_understanding,theta_quantitative_procedural,se_online_quantitative_procedural,scorable_evals_quantitative_procedural,criteria_administered,scenarios_administered
1,ibm-granite/granite-3.1-2b-instruct,1.5788,0.15,18,1.3518,0.1484,15,26,16
2,nvidia/AceInstruct-1.5B,1.4414,0.1442,18,1.2381,0.1458,15,27,17
3,tiiuae/Falcon3-3B-Instruct,1.3639,0.1724,19,2.382,0.1561,17,30,15
4,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,1.341,0.1502,16,1.79,0.1586,15,26,16
5,meta-llama/Llama-3.2-3B-Instruct,1.3392,0.1524,15,1.3298,0.1494,16,26,15
6,ibm-granite/granite-3.1-2b-base,1.2764,0.2446,15,-0.1675,0.2534,16,27,15
7,tiiuae/Falcon3-3B-Base,1.1446,0.1863,21,1.0476,0.1932,15,28,16
8,01-ai/Yi-1.5-6B-Chat,1.0776,0.1781,26,0.7149,0.1581,15,30,17
9,pankajmathur/orca_mini_v9_5_3B-Instruct,0.9014,0.1627,26,0.6715,0.1603,15,30,17
10,ibm-granite/granite-3.0-2b-base,0.7676,0.1962,25,0.2432,0.1905,15,31,17
11,01-ai/Yi-6B-Chat,0.4602,0.2016,24,0.2507,0.2119,16,29,15
12,arcee-ai/raspberry-3B,0.4561,0.1718,20,1.0889,0.197,15,25,13
13,01-ai/Yi-1.5-6B,0.4348,0.1935,26,0.3239,0.2001,15,30,17
14,ibm-granite/granite-7b-instruct,0.4153,0.253,15,-0.4323,0.2706,16,23,13
15,tiiuae/Falcon3-1B-Instruct,0.3348,0.2721,15,-0.2975,0.2667,17,27,14
16,BSC-LT/salamandra-7b-instruct,0.3051,0.2077,20,-0.0409,0.2505,16,27,16
17,allenai/OLMo-2-0425-1B-DPO,0.2862,0.2043,20,-0.0852,0.2137,16,29,18
18,allenai/OLMo-2-0425-1B-Instruct,0.2139,0.235,15,-0.2374,0.2637,15,24,12
19,ibm/PowerLM-3b,0.1224,0.2235,17,0.0077,0.2419,16,28,16
20,OpenBMB/MiniCPM4-0.5B,0.0685,0.2219,15,-0.0784,0.2384,16,25,15
21,stabilityai/stablelm-zephyr-3b,-0.1354,0.29,16,-0.0126,0.2855,15,25,15
22,stabilityai/stablelm-2-1_6b-chat,-0.1843,0.2122,23,0.0701,0.2212,15,29,18
23,meta-llama/Llama-3.2-1B-Instruct,-0.212,0.2648,20,0.3063,0.2507,16,27,14
24,Qwen/Qwen1.5-1.8B-Chat,-0.2365,0.2734,18,-0.4507,0.2945,16,27,15
25,Qwen/Qwen2.5-0.5B-Instruct,-0.3834,0.264,15,-0.1789,0.2795,17,27,16
26,BSC-LT/salamandra-7b,-0.4339,0.277,15,-1.23,0.2999,23,34,18
27,stabilityai/stablelm-2-zephyr-1_6b,-0.4392,0.25,15,-0.5842,0.2637,23,34,20
28,google/gemma-2-2b,-0.4725,0.2988,15,-0.8281,0.2982,15,28,16
29,h2oai/h2o-danube-1.8b-chat,-0.5042,0.2966,15,-0.8594,0.2962,15,27,17
30,BSC-LT/salamandra-2b-instruct,-0.5084,0.278,17,-0.458,0.289,15,25,14
31,microsoft/phi-1_5,-0.5343,0.2609,20,-0.3281,0.2597,15,28,17
32,allenai/OLMo-2-0425-1B,-0.639,0.2948,15,-0.5055,0.2919,16,25,15
33,google/gemma-2b,-0.7061,0.2429,18,0.1591,0.2582,15,25,15
34,openbmb/MiniCPM-2B-sft-bf16,-0.7109,0.2807,17,-1.0831,0.2946,19,31,17
35,h2oai/h2o-danube2-1.8b-base,-0.7329,0.2829,16,-0.6273,0.2746,16,28,16
36,ai-forever/mGPT,-0.7352,0.2843,18,-1.4525,0.2977,30,42,26
37,pankajmathur/orca_mini_3b,-0.7701,0.2881,17,-1.0002,0.2924,18,30,17
38,utter-project/EuroLLM-1.7B,-0.8054,0.2801,15,-1.2862,0.2918,17,29,16
39,utter-project/EuroLLM-1.7B-Instruct,-0.8499,0.2502,18,-1.1658,0.2977,22,34,20
40,h2oai/h2o-danube2-1.8b-chat,-0.8764,0.2771,17,-0.6191,0.2826,16,28,17
41,allenai/OLMo-1B-hf,-0.8827,0.285,24,-1.6923,0.3,44,63,34
42,meta-llama/Llama-3.2-1B,-0.9026,0.2851,21,-1.3117,0.2984,24,41,23
43,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-0.9232,0.2842,25,-1.6823,0.2993,45,64,36
44,01-ai/Yi-6B-200K,-0.9562,0.2933,18,-0.894,0.2996,19,33,17
45,01-ai/Yi-6B,-1.0453,0.1504,58,0.6507,0.1478,15,64,36
46,BEE-spoke-data/smol_llama-220M-openhermes,-1.0957,0.3,19,-1.3741,0.297,22,35,18
47,Qwen/Qwen2-0.5B,-1.1421,0.288,18,-0.5613,0.2936,15,28,15
48,Qwen/Qwen1.5-1.8B,-1.2193,0.2907,16,-1.0645,0.2992,23,36,20
49,openbmb/MiniCPM-1B-sft-bf16,-1.2985,0.2536,23,-1.6407,0.2983,37,55,31
50,openlm-research/open_llama_3b,-1.3302,0.2913,28,-1.375,0.2999,42,64,36
51,HuggingFaceTB/SmolLM2-360M,-1.3986,0.2754,19,-1.1377,0.2975,21,37,19
52,BSC-LT/salamandra-2b,-1.405,0.2848,17,-1.2579,0.2908,16,31,19
