question_id,model,benchmark,predicted,gold,result,scoring_method
sciq_00000,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00001,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00002,stabilityai/stablelm-zephyr-3b,sciq,A,D,wrong,loglikelihood
sciq_00003,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00004,stabilityai/stablelm-zephyr-3b,sciq,B,D,wrong,loglikelihood
sciq_00005,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00006,stabilityai/stablelm-zephyr-3b,sciq,B,B,correct,loglikelihood
sciq_00007,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00008,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00009,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00010,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00011,stabilityai/stablelm-zephyr-3b,sciq,D,A,wrong,loglikelihood
sciq_00012,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00013,stabilityai/stablelm-zephyr-3b,sciq,B,B,correct,loglikelihood
sciq_00014,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00015,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00016,stabilityai/stablelm-zephyr-3b,sciq,B,C,wrong,loglikelihood
sciq_00017,stabilityai/stablelm-zephyr-3b,sciq,B,D,wrong,loglikelihood
sciq_00018,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00019,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00020,stabilityai/stablelm-zephyr-3b,sciq,A,D,wrong,loglikelihood
sciq_00021,stabilityai/stablelm-zephyr-3b,sciq,A,B,wrong,loglikelihood
sciq_00022,stabilityai/stablelm-zephyr-3b,sciq,B,B,correct,loglikelihood
sciq_00023,stabilityai/stablelm-zephyr-3b,sciq,B,B,correct,loglikelihood
sciq_00024,stabilityai/stablelm-zephyr-3b,sciq,B,C,wrong,loglikelihood
sciq_00025,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00026,stabilityai/stablelm-zephyr-3b,sciq,C,A,wrong,loglikelihood
sciq_00027,stabilityai/stablelm-zephyr-3b,sciq,B,B,correct,loglikelihood
sciq_00028,stabilityai/stablelm-zephyr-3b,sciq,B,B,correct,loglikelihood
sciq_00029,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00030,stabilityai/stablelm-zephyr-3b,sciq,A,B,wrong,loglikelihood
sciq_00031,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00032,stabilityai/stablelm-zephyr-3b,sciq,A,D,wrong,loglikelihood
sciq_00033,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00034,stabilityai/stablelm-zephyr-3b,sciq,B,B,correct,loglikelihood
sciq_00035,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00036,stabilityai/stablelm-zephyr-3b,sciq,C,A,wrong,loglikelihood
sciq_00037,stabilityai/stablelm-zephyr-3b,sciq,B,B,correct,loglikelihood
sciq_00038,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00039,stabilityai/stablelm-zephyr-3b,sciq,B,D,wrong,loglikelihood
sciq_00040,stabilityai/stablelm-zephyr-3b,sciq,B,B,correct,loglikelihood
sciq_00041,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00042,stabilityai/stablelm-zephyr-3b,sciq,C,D,wrong,loglikelihood
sciq_00043,stabilityai/stablelm-zephyr-3b,sciq,C,D,wrong,loglikelihood
sciq_00044,stabilityai/stablelm-zephyr-3b,sciq,A,C,wrong,loglikelihood
sciq_00045,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00046,stabilityai/stablelm-zephyr-3b,sciq,C,B,wrong,loglikelihood
sciq_00047,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00048,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00049,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00050,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00051,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00052,stabilityai/stablelm-zephyr-3b,sciq,D,B,wrong,loglikelihood
sciq_00053,stabilityai/stablelm-zephyr-3b,sciq,B,C,wrong,loglikelihood
sciq_00054,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00055,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00056,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00057,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00058,stabilityai/stablelm-zephyr-3b,sciq,D,A,wrong,loglikelihood
sciq_00059,stabilityai/stablelm-zephyr-3b,sciq,D,B,wrong,loglikelihood
sciq_00060,stabilityai/stablelm-zephyr-3b,sciq,C,D,wrong,loglikelihood
sciq_00061,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00062,stabilityai/stablelm-zephyr-3b,sciq,A,D,wrong,loglikelihood
sciq_00063,stabilityai/stablelm-zephyr-3b,sciq,B,C,wrong,loglikelihood
sciq_00064,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00065,stabilityai/stablelm-zephyr-3b,sciq,D,C,wrong,loglikelihood
sciq_00066,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00067,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00068,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00069,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00070,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00071,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00072,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00073,stabilityai/stablelm-zephyr-3b,sciq,C,B,wrong,loglikelihood
sciq_00074,stabilityai/stablelm-zephyr-3b,sciq,D,B,wrong,loglikelihood
sciq_00075,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00076,stabilityai/stablelm-zephyr-3b,sciq,B,D,wrong,loglikelihood
sciq_00077,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00078,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00079,stabilityai/stablelm-zephyr-3b,sciq,C,A,wrong,loglikelihood
sciq_00080,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00081,stabilityai/stablelm-zephyr-3b,sciq,D,A,wrong,loglikelihood
sciq_00082,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00083,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00084,stabilityai/stablelm-zephyr-3b,sciq,B,A,wrong,loglikelihood
sciq_00085,stabilityai/stablelm-zephyr-3b,sciq,D,C,wrong,loglikelihood
sciq_00086,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00087,stabilityai/stablelm-zephyr-3b,sciq,A,B,wrong,loglikelihood
sciq_00088,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00089,stabilityai/stablelm-zephyr-3b,sciq,B,B,correct,loglikelihood
sciq_00090,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00091,stabilityai/stablelm-zephyr-3b,sciq,B,B,correct,loglikelihood
sciq_00092,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00093,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00094,stabilityai/stablelm-zephyr-3b,sciq,B,B,correct,loglikelihood
sciq_00095,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00096,stabilityai/stablelm-zephyr-3b,sciq,C,A,wrong,loglikelihood
sciq_00097,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00098,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00099,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00100,stabilityai/stablelm-zephyr-3b,sciq,B,D,wrong,loglikelihood
sciq_00101,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00102,stabilityai/stablelm-zephyr-3b,sciq,D,A,wrong,loglikelihood
sciq_00103,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00104,stabilityai/stablelm-zephyr-3b,sciq,B,C,wrong,loglikelihood
sciq_00105,stabilityai/stablelm-zephyr-3b,sciq,B,B,correct,loglikelihood
sciq_00106,stabilityai/stablelm-zephyr-3b,sciq,B,B,correct,loglikelihood
sciq_00107,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00108,stabilityai/stablelm-zephyr-3b,sciq,B,B,correct,loglikelihood
sciq_00109,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00110,stabilityai/stablelm-zephyr-3b,sciq,A,C,wrong,loglikelihood
sciq_00111,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00112,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00113,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00114,stabilityai/stablelm-zephyr-3b,sciq,D,A,wrong,loglikelihood
sciq_00115,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00116,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00117,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00118,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00119,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00120,stabilityai/stablelm-zephyr-3b,sciq,D,B,wrong,loglikelihood
sciq_00121,stabilityai/stablelm-zephyr-3b,sciq,A,C,wrong,loglikelihood
sciq_00122,stabilityai/stablelm-zephyr-3b,sciq,A,C,wrong,loglikelihood
sciq_00123,stabilityai/stablelm-zephyr-3b,sciq,B,B,correct,loglikelihood
sciq_00124,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00125,stabilityai/stablelm-zephyr-3b,sciq,D,A,wrong,loglikelihood
sciq_00126,stabilityai/stablelm-zephyr-3b,sciq,C,A,wrong,loglikelihood
sciq_00127,stabilityai/stablelm-zephyr-3b,sciq,B,B,correct,loglikelihood
sciq_00128,stabilityai/stablelm-zephyr-3b,sciq,B,B,correct,loglikelihood
sciq_00129,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00130,stabilityai/stablelm-zephyr-3b,sciq,B,D,wrong,loglikelihood
sciq_00131,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00132,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00133,stabilityai/stablelm-zephyr-3b,sciq,A,B,wrong,loglikelihood
sciq_00134,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00135,stabilityai/stablelm-zephyr-3b,sciq,B,B,correct,loglikelihood
sciq_00136,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00137,stabilityai/stablelm-zephyr-3b,sciq,C,C,correct,loglikelihood
sciq_00138,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
sciq_00139,stabilityai/stablelm-zephyr-3b,sciq,D,B,wrong,loglikelihood
sciq_00140,stabilityai/stablelm-zephyr-3b,sciq,B,A,wrong,loglikelihood
sciq_00141,stabilityai/stablelm-zephyr-3b,sciq,D,D,correct,loglikelihood
sciq_00142,stabilityai/stablelm-zephyr-3b,sciq,A,A,correct,loglikelihood
