assignment_id,scenario_id,anonymous_tutor,use_case,subject,criterion_id,primary_skill,criticality,criterion,grade,notes
grader_03_item_01,tb_0001,Tutor C,adaptive_explanation,chemistry,tb_0001_c01,content,not_critical,"The response must provide the answer for the ionization constant. (e.g., Ka = 1.847 x 10 ^-5)",P,____
grader_03_item_01,tb_0001,Tutor C,adaptive_explanation,chemistry,tb_0001_c02,content,not_critical,"The response must include the formula to be used to calculate the ionic concentration. (e.g., pH to [HΓü║] conversion formula: $[H^+] = 10^{-pH}$)",P,____
grader_03_item_01,tb_0001,Tutor C,adaptive_explanation,chemistry,tb_0001_c03,content,critical,"The Response must explain the Le-Chatelier principle (e.g., the  equilibrium system shifts either to the left or to the right to reduce the change applied)",P,____
grader_03_item_01,tb_0001,Tutor C,adaptive_explanation,chemistry,tb_0001_c04,diagnosis,critical,"The response must address why we need to calculate HA again even if it is already given (e.g., because ionization is calculated for equilibrium equation HA = HΓü║ + AΓü╗).",P,____
grader_03_item_01,tb_0001,Tutor C,adaptive_explanation,chemistry,tb_0001_c05,scaffolding,not_critical,"The response should present a step-by-step solution, beginning with the calculation of $[H^+]$, followed by $[A^-]$, then computing the $K_a$ value and percent ionization. It should conclude with an explanation grounded in equilibrium principles.",P,____
grader_03_item_01,tb_0001,Tutor C,adaptive_explanation,chemistry,tb_0001_c06,content,not_critical,The response must provide the answer for the percentage ionization. (e.g. %ionization = 1.35),P,____
grader_03_item_01,tb_0001,Tutor C,adaptive_explanation,chemistry,tb_0001_c07,content,not_critical,"The response must include the formula to be used to calculate percentage ionization. (e.g., % ionization = [HΓü║] or [AΓü╗] / [HA] initial ├ù 100)",P,____
grader_03_item_01,tb_0001,Tutor C,adaptive_explanation,chemistry,tb_0001_c08,content,not_critical,"The response must include the formula used to calculate Ka. (e.g., K_a = \frac{[H^+][A^-]}{[HA]} \]))",P,____
grader_03_item_01,tb_0001,Tutor C,adaptive_explanation,chemistry,tb_0001_c09,content,not_critical,The response must provide the answer for the percentage ionization after dilution. (e.g. %ionization = 1.9%),P,____
grader_03_item_01,tb_0001,Tutor C,adaptive_explanation,chemistry,tb_0001_c10,diagnosis,critical,The model should acknowledge the student's confusion regarding the re-calculation of HA concentration.,P,____
grader_03_item_02,tb_0003,Tutor A,adaptive_explanation,calculus,tb_0003_c01,content,not_critical,"The response must identify that some methods, like substitution (i.e. let u=x+y), variables separation (i.e. f(y)dy=g(x)dx), and take antiderivative (i.e. \[
\int f(y) \, dy = \int g(x) \, dx
\]) should be used to solve the differential equation.",P,____
grader_03_item_02,tb_0003,Tutor A,adaptive_explanation,calculus,tb_0003_c02,content,not_critical,"The response must provide the correct answer to the question, i.e. the correct answer is \[ 
y = 2\arctan(x + C) - x 
\].",P,____
grader_03_item_02,tb_0003,Tutor A,adaptive_explanation,calculus,tb_0003_c03,diagnosis,critical,"The response must identify that the student's solution [let u=x+y, \(\frac{du}{dx} = \frac{dy}{dx}\)] is incorrect.",F,____
grader_03_item_02,tb_0003,Tutor A,adaptive_explanation,calculus,tb_0003_c04,diagnosis,not_critical,"The response must correct the error [let u=x+y, \(\frac{du}{dx} = \frac{dy}{dx}\)], i.e. since u=x+y, take derivative respect to x, \(\frac{du}{dx} = \frac{d(x+y)}{dx} = 1 + \frac{dy}{dx}\).",P,____
grader_03_item_02,tb_0003,Tutor A,adaptive_explanation,calculus,tb_0003_c05,diagnosis,critical,"The response must identify that the antiderivative \[
\int \frac{du}{\cos(u)} = \sin(u)
\] is incorrect.",F,____
grader_03_item_02,tb_0003,Tutor A,adaptive_explanation,calculus,tb_0003_c06,content,critical,"The response must correct error of the antiderivative, i.e. \[
\int \frac{du}{\cos(u)} = \ln \left| \sec(u) + \tan(u) \right| + C
\], and the student probably got wrong by using \[ 
\int \cos(u) \, \mathrm{d}u = \sin(u) + C 
\].",F,____
grader_03_item_02,tb_0003,Tutor A,adaptive_explanation,calculus,tb_0003_c07,diagnosis,not_critical,The response must identify that the antiderivative \(\int dx = Cx\) is incorrect.,P,____
grader_03_item_02,tb_0003,Tutor A,adaptive_explanation,calculus,tb_0003_c08,content,not_critical,"The response must correct error of the antiderivative, i.e. \[ 
\text{int } dx = x + C 
\], .",P,____
grader_03_item_02,tb_0003,Tutor A,adaptive_explanation,calculus,tb_0003_c09,diagnosis,critical,The response must identify and explain the first error in the student's solution: \(\frac{du}{dx} = \frac{dy}{dx}\) is incorrect.,F,derived from original compound tb_0003_c09 human grade during curation regrade
grader_03_item_02,tb_0003,Tutor A,adaptive_explanation,calculus,tb_0003_c10,diagnosis,critical,The response must identify and explain the second error: \(\int \frac{du}{\cos(u)} = \sin(u)\) is incorrect.,F,derived from original compound tb_0003_c09 human grade during curation regrade
grader_03_item_02,tb_0003,Tutor A,adaptive_explanation,calculus,tb_0003_c11,diagnosis,critical,"The response must identify and explain the third error: \(\int dx = Cx\) is incorrect (which, together with the other errors, leads to the incorrect final answer \(y = \arcsin(Cx) - x\)).",P,derived from original compound tb_0003_c09 human grade during curation regrade
grader_03_item_02,tb_0003,Tutor A,adaptive_explanation,calculus,tb_0003_c12,,not_critical,"The response should follow tutoring presentation conventions: use clear Markdown structure (e.g., headings, bullets, or sections) where it aids clarity; render mathematical expressions in LaTeX. (Style/presentation only; not a content, diagnosis, or scaffolding skill.)",P,____
grader_03_item_03,tb_0340,Tutor B,feedback,statistics,tb_0340_c01,diagnosis,critical,"The response must include that the student's formula formula, ""predicted - actual,"" is incorrect.",P,____
grader_03_item_03,tb_0340,Tutor B,feedback,statistics,tb_0340_c02,diagnosis,critical,"The response must include that the student's final answer, ""-8.14,"" is incorrect.",F,____
grader_03_item_03,tb_0340,Tutor B,feedback,statistics,tb_0340_c03,diagnosis,critical,"The response must include that the student makes the correct assumption about their answer of ""-8.14"" that ""if I got the sign backward then like maybe it just means the elk weighed more than expected?"", because +8.14 is the correct answer and the elk weigh more than expected in this situation.",P,____
grader_03_item_03,tb_0340,Tutor B,feedback,statistics,tb_0340_c04,diagnosis,critical,"The response must include that the student's words and their numerical answer don't align because they expressed verbally that the elk ""weighs more,"" but their numerical answer is negative.",F,____
grader_03_item_03,tb_0340,Tutor B,feedback,statistics,tb_0340_c05,content,critical,The response must include the correct formula for the answer: Residual Weight = (Weighed Elk) - (Predicted Weight) = 204.3 kg - 196.16 kg = 8.14 kg.,P,____
