question_id,model,benchmark,predicted,gold,result,scoring_method
sciq_00000,google/gemma-3-4b-it,sciq,C,C,correct,loglikelihood
sciq_00001,google/gemma-3-4b-it,sciq,D,D,correct,loglikelihood
sciq_00002,google/gemma-3-4b-it,sciq,C,D,wrong,loglikelihood
sciq_00003,google/gemma-3-4b-it,sciq,C,C,correct,loglikelihood
sciq_00004,google/gemma-3-4b-it,sciq,D,D,correct,loglikelihood
sciq_00005,google/gemma-3-4b-it,sciq,C,C,correct,loglikelihood
sciq_00006,google/gemma-3-4b-it,sciq,B,B,correct,loglikelihood
sciq_00007,google/gemma-3-4b-it,sciq,D,D,correct,loglikelihood
sciq_00008,google/gemma-3-4b-it,sciq,A,C,wrong,loglikelihood
sciq_00009,google/gemma-3-4b-it,sciq,D,D,correct,loglikelihood
sciq_00010,google/gemma-3-4b-it,sciq,D,D,correct,loglikelihood
sciq_00011,google/gemma-3-4b-it,sciq,D,A,wrong,loglikelihood
sciq_00012,google/gemma-3-4b-it,sciq,C,C,correct,loglikelihood
sciq_00013,google/gemma-3-4b-it,sciq,B,B,correct,loglikelihood
sciq_00014,google/gemma-3-4b-it,sciq,D,D,correct,loglikelihood
sciq_00015,google/gemma-3-4b-it,sciq,A,A,correct,loglikelihood
sciq_00016,google/gemma-3-4b-it,sciq,B,C,wrong,loglikelihood
sciq_00017,google/gemma-3-4b-it,sciq,B,D,wrong,loglikelihood
sciq_00018,google/gemma-3-4b-it,sciq,C,C,correct,loglikelihood
sciq_00019,google/gemma-3-4b-it,sciq,C,C,correct,loglikelihood
sciq_00020,google/gemma-3-4b-it,sciq,D,D,correct,loglikelihood
sciq_00021,google/gemma-3-4b-it,sciq,B,B,correct,loglikelihood
sciq_00022,google/gemma-3-4b-it,sciq,B,B,correct,loglikelihood
sciq_00023,google/gemma-3-4b-it,sciq,B,B,correct,loglikelihood
sciq_00024,google/gemma-3-4b-it,sciq,B,C,wrong,loglikelihood
sciq_00025,google/gemma-3-4b-it,sciq,C,D,wrong,loglikelihood
sciq_00026,google/gemma-3-4b-it,sciq,C,A,wrong,loglikelihood
sciq_00027,google/gemma-3-4b-it,sciq,D,B,wrong,loglikelihood
sciq_00028,google/gemma-3-4b-it,sciq,B,B,correct,loglikelihood
sciq_00029,google/gemma-3-4b-it,sciq,A,A,correct,loglikelihood
sciq_00030,google/gemma-3-4b-it,sciq,B,B,correct,loglikelihood
sciq_00031,google/gemma-3-4b-it,sciq,A,A,correct,loglikelihood
sciq_00032,google/gemma-3-4b-it,sciq,D,D,correct,loglikelihood
sciq_00033,google/gemma-3-4b-it,sciq,A,A,correct,loglikelihood
sciq_00034,google/gemma-3-4b-it,sciq,A,B,wrong,loglikelihood
sciq_00035,google/gemma-3-4b-it,sciq,A,A,correct,loglikelihood
sciq_00036,google/gemma-3-4b-it,sciq,A,A,correct,loglikelihood
sciq_00037,google/gemma-3-4b-it,sciq,C,B,wrong,loglikelihood
sciq_00038,google/gemma-3-4b-it,sciq,A,D,wrong,loglikelihood
sciq_00039,google/gemma-3-4b-it,sciq,D,D,correct,loglikelihood
sciq_00040,google/gemma-3-4b-it,sciq,A,B,wrong,loglikelihood
sciq_00041,google/gemma-3-4b-it,sciq,A,A,correct,loglikelihood
sciq_00042,google/gemma-3-4b-it,sciq,C,D,wrong,loglikelihood
sciq_00043,google/gemma-3-4b-it,sciq,D,D,correct,loglikelihood
sciq_00044,google/gemma-3-4b-it,sciq,C,C,correct,loglikelihood
sciq_00045,google/gemma-3-4b-it,sciq,B,A,wrong,loglikelihood
sciq_00046,google/gemma-3-4b-it,sciq,B,B,correct,loglikelihood
sciq_00047,google/gemma-3-4b-it,sciq,C,C,correct,loglikelihood
sciq_00048,google/gemma-3-4b-it,sciq,C,C,correct,loglikelihood
sciq_00049,google/gemma-3-4b-it,sciq,A,A,correct,loglikelihood
sciq_00050,google/gemma-3-4b-it,sciq,C,C,correct,loglikelihood
sciq_00051,google/gemma-3-4b-it,sciq,D,D,correct,loglikelihood
sciq_00052,google/gemma-3-4b-it,sciq,D,B,wrong,loglikelihood
sciq_00053,google/gemma-3-4b-it,sciq,B,C,wrong,loglikelihood
sciq_00054,google/gemma-3-4b-it,sciq,D,D,correct,loglikelihood
sciq_00055,google/gemma-3-4b-it,sciq,C,C,correct,loglikelihood
sciq_00056,google/gemma-3-4b-it,sciq,A,A,correct,loglikelihood
sciq_00057,google/gemma-3-4b-it,sciq,A,A,correct,loglikelihood
sciq_00058,google/gemma-3-4b-it,sciq,D,A,wrong,loglikelihood
sciq_00059,google/gemma-3-4b-it,sciq,D,B,wrong,loglikelihood
sciq_00060,google/gemma-3-4b-it,sciq,C,D,wrong,loglikelihood
