model_a,model_b,accuracy,theta_a,theta_b,theta_gap,heldoutB_gap,se_a,se_b,z_gap,acc_a,acc_b,acc_diff,n_items,n_correct_a,n_correct_b,mean_disc_correct_a,mean_disc_correct_b,mean_diff_correct_a,mean_diff_correct_b,disc_correct_gap,diff_correct_gap,mechanism_confirmed
BEE-spoke-data/tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024,tangledgroup/tangled-llama-pints-1.5b-v0.2-instruct,0.23575129533678757,0.041317448049125814,-0.7077455765322241,0.74906302458135,-0.05172413793103445,0.09458245605058108,0.11883456772755532,4.931944011654653,0.23661485319516407,0.23488773747841105,0.0017271157167530193,579,137,136,4.266512796933944,2.9292992862321827,1.0193221496524845,3.9124386875679553,1.3372135107017615,-2.893116537915471,True
BEE-spoke-data/tFINE-900m-e16-d32-instruct_2e,pints-ai/1.5-Pints-16K-v0.1,0.23575129533678757,0.03270819733425062,-0.6709290563309485,0.7036372536651991,-0.04137931034482761,0.09602518516829575,0.11453460515454322,4.7077874246489015,0.23488773747841105,0.23661485319516407,0.0017271157167530193,579,136,137,4.1148679598269435,2.4130788523185815,1.0958841748184536,4.013311969465025,1.701789107508362,-2.9174277946465716,True
Novaciano/Fusetrix-3.2-1B-GRPO_RP_Creative,Yash21/TinyYi-7B-Test,0.28411053540587217,0.22991087086316944,-0.461659740300375,0.6915706111635445,-0.031034482758620696,0.07538527664238893,0.10635037147356538,5.305143520593235,0.28324697754749567,0.2849740932642487,0.001727115716753047,579,164,165,3.6168428504759285,2.2221886930651795,1.350675260922236,4.031364165650141,1.394654157410749,-2.6806889047279046,True
vonjack/Qwen2.5-Coder-0.5B-Merged,pankajmathur/orca_mini_7b,0.26943005181347146,0.29301778629241976,-0.39002373382289635,0.6830415201153162,-0.02413793103448275,0.09867481430361054,0.09626779993847681,4.954755326238452,0.2711571675302245,0.26770293609671847,0.0034542314335060387,579,157,155,3.828103551270257,3.6825764789099646,2.2040042065890315,3.003770190265758,0.1455270723602924,-0.7997659836767266,True
Novaciano/La_Mejor_Mezcla-3.2-1B,Youlln/ECE-Qwen0.5B-FT-V2,0.29101899827288424,0.3524004811925459,-0.3079122735362141,0.6603127547287599,-0.02068965517241378,0.06250127985684233,0.0918886410297751,5.941791350281783,0.2918825561312608,0.29015544041450775,0.001727115716753047,579,169,168,3.7610042164985957,3.2808387358269124,1.2141591217740997,2.2038454927813182,0.4801654806716833,-0.9896863710072186,True
google/codegemma-1.1-2b,sumink/Qwensci,0.25129533678756477,0.08425763868419617,-0.5416904479298278,0.6259480866140239,-0.0034482758620689724,0.08995323686445486,0.10336884847129814,4.568026768287572,0.2504317789291883,0.25215889464594127,0.0017271157167529916,579,145,146,3.823225298278673,2.652847589168358,1.1917291395400473,4.571106942226363,1.1703777091103151,-3.3793778026863155,True
Novaciano/FuseChat-3.2-1B-GRPO_Creative_RP,DreadPoor/UNTESTED-VENN_1.2-8B-Model_Stock,0.3195164075993091,0.4359346107337772,-0.17558761169089776,0.611522222424675,-0.04137931034482756,0.05662777571557661,0.10007633989068361,5.318192039831005,0.3177892918825561,0.32124352331606215,0.0034542314335060387,579,184,186,3.8809593900563017,3.507942344891223,0.9829449252726569,2.0498951479628027,0.3730170451650787,-1.0669502226901457,True
Qwen/Qwen2.5-Math-7B-Instruct,DeepMount00/Lexora-Lite-3B_v2,0.2469775474956822,0.034806836236268276,-0.5745629899787021,0.6093698262149704,-0.051724137931034475,0.11265978776296252,0.11159979598081608,3.8427318555611203,0.24870466321243523,0.2452504317789292,0.0034542314335060387,579,144,142,4.816743998887165,3.1850256838943327,2.662410652586278,4.375796693259004,1.631718314992832,-1.7133860406727264,True
SkyOrbis/SKY-Ko-Llama3.2-1B-lora-epoch3,pankajmathur/orca_mini_v9_7_1B-Instruct,0.27806563039723664,0.24463656168607845,-0.3461919613052852,0.5908285229913637,-0.006896551724137889,0.0848741311548331,0.10466807195773942,4.384450878512502,0.2763385146804836,0.27979274611398963,0.0034542314335060387,579,160,162,4.287248314669106,4.25103224830528,2.809730680620139,3.471615867751711,0.036216066363826016,-0.6618851871315719,True
CoolSpring/Qwen2-0.5B-Abyme-merge2,JayHyeon/Qwen2.5-0.5B-SFT-2e-4-2ep,0.23661485319516407,-0.004491287332959851,-0.5909371790507202,0.5864458917177603,0.01034482758620689,0.0935175272925919,0.10876381247289703,4.088434323149293,0.23834196891191708,0.23488773747841105,0.0034542314335060387,579,138,136,4.637136581008068,3.4242914428979456,1.3326816307274394,4.1425348673721425,1.2128451381101226,-2.8098532366447033,True
LenguajeNaturalAI/leniachat-gemma-2b-v0,anakin87/gemma-2b-orpo,0.2590673575129534,0.06942710393676413,-0.511807541992074,0.5812346459288381,-0.04137931034482761,0.08929728318388379,0.1059771936321955,4.194135061214968,0.2607944732297064,0.25734024179620035,0.0034542314335060387,579,151,149,4.628661908114545,2.99994804166327,1.3309454254750803,3.196674399095133,1.6287138664512746,-1.8657289736200529,True
BEE-spoke-data/smol_llama-220M-openhermes,JayHyeon/Qwen2.5-0.5B-SFT-7e-5-2ep,0.24179620034542315,0.021889369406688633,-0.5387893546895058,0.5606787240961945,0.0,0.0922566653715395,0.10998657844212764,3.9056432707947812,0.24352331606217617,0.24006908462867013,0.0034542314335060387,579,141,139,4.2038205330951515,3.486041349793499,1.156211180796093,2.352732202432605,0.7177791833016527,-1.1965210216365119,True
