model,scenarios_administered,criteria_administered,stop_reason,precision_reached,judge_lookups,judge_missing,obs_acc,theta_full_correctness,theta_cat_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_full_scaffolding,theta_cat_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding
01-ai/Yi-6B,45,211,precision_reached,True,211,0,0.08193979933110368,-1.0704346703763623,-0.728608,-0.7763121890989781,-0.7884170686927116,0.24094,152,0.06297062464348907,-0.500287,-0.4681075520220135,-0.49680881140614636,0.249343,89
01-ai/Yi-6B-Chat,40,198,precision_reached,True,198,0,0.11865357643758766,-0.20101842941183268,-0.414805,-0.4729059756194936,-0.47126874595272095,0.240413,139,-0.7662038966888817,-0.462028,-0.4326985747891582,-0.4593317608648657,0.249497,93
EleutherAI/pythia-1.4b,43,210,precision_reached,True,210,0,0.06802533737262462,-2.4050538814660434,-2.504249,-3.0943901688697832,-3.520219777915161,0.247953,173,1.2239202146278805,1.215738,1.237493703787355,1.3265785297555346,0.248607,70
EleutherAI/pythia-160m,50,247,max_scenarios_reached,False,247,0,0.04298704877376688,-5.905746395609428,-3.066594,-4.010521067169338,-6.1098835659483175,0.259057,202,1.8460324088623938,1.93237,2.0374457355915063,2.221634966447708,0.257305,80
EleutherAI/pythia-1b,50,241,max_scenarios_reached,False,241,0,0.06344827586206897,-2.628970270212859,-2.728896,-3.2321279740717785,-3.6937892185264327,0.255047,196,1.119802726830886,0.875768,0.8850277100530837,0.9571712658277874,0.250607,78
EleutherAI/pythia-2.8b,46,239,precision_reached,True,239,0,0.05953693495038589,-2.628843696421378,-2.553096,-2.9333947888280543,-3.233125662258203,0.248874,196,0.990706262686823,1.347689,1.3461355367656025,1.435566919597526,0.249592,77
EleutherAI/pythia-410m,50,243,max_scenarios_reached,False,243,0,0.055907463508675294,-3.7524347791206836,-2.989862,-3.925991730752483,-5.71689116652208,0.255326,201,1.4646678321988662,1.263155,1.2766164849655057,1.3648150623016035,0.254472,74
EleutherAI/pythia-6.9b,47,224,precision_reached,True,224,0,0.05853119823302043,-2.3886528441452617,-2.113863,-2.342317137095829,-2.518436176506755,0.249438,173,0.7290093698361134,0.548105,0.5373484067979318,0.5936070378604452,0.248554,86
EleutherAI/pythia-70m,50,236,max_scenarios_reached,False,236,0,0.03271927412702777,-6.124541847468202,-2.890805,-3.9574281223643144,-6.636491992066707,0.253303,191,0.9971778051884745,0.917207,0.9122676437593563,0.984357004434272,0.250279,76
HuggingFaceH4/zephyr-7b-beta,10,41,precision_reached,True,41,0,0.24400446179587285,1.0735464455197932,1.331257,1.2762993088911023,1.3485953662993642,0.233772,32,0.5360821953414793,0.455149,0.18923142500269377,0.520381241787663,0.22451,16
HuggingFaceTB/SmolLM2-1.7B,39,200,precision_reached,True,200,0,0.09682804674457429,-0.6069972196331872,-0.450156,-0.5091459007905338,-0.48740539402869343,0.242398,137,-0.18819606251454446,0.126778,0.12105396590515183,0.13737669962482682,0.248916,97
