question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_7175875,bigscience/bloom-3b,arc_challenge,A,C,wrong,loglikelihood
Mercury_SC_409171,bigscience/bloom-3b,arc_challenge,A,B,wrong,loglikelihood
Mercury_SC_408547,bigscience/bloom-3b,arc_challenge,B,C,wrong,loglikelihood
Mercury_407327,bigscience/bloom-3b,arc_challenge,D,D,correct,loglikelihood
MCAS_2006_9_44,bigscience/bloom-3b,arc_challenge,B,D,wrong,loglikelihood
Mercury_7270393,bigscience/bloom-3b,arc_challenge,C,B,wrong,loglikelihood
MCAS_2014_5_7,bigscience/bloom-3b,arc_challenge,B,C,wrong,loglikelihood
Mercury_7086660,bigscience/bloom-3b,arc_challenge,C,C,correct,loglikelihood
Mercury_7168805,bigscience/bloom-3b,arc_challenge,D,B,wrong,loglikelihood
MCAS_2003_8_11,bigscience/bloom-3b,arc_challenge,A,A,correct,loglikelihood
Mercury_7250058,bigscience/bloom-3b,arc_challenge,B,B,correct,loglikelihood
Mercury_7012740,bigscience/bloom-3b,arc_challenge,A,A,correct,loglikelihood
Mercury_LBS10610,bigscience/bloom-3b,arc_challenge,B,C,wrong,loglikelihood
Mercury_SC_407400,bigscience/bloom-3b,arc_challenge,D,C,wrong,loglikelihood
Mercury_7212993,bigscience/bloom-3b,arc_challenge,D,C,wrong,loglikelihood
Mercury_SC_413240,bigscience/bloom-3b,arc_challenge,A,A,correct,loglikelihood
Mercury_7186358,bigscience/bloom-3b,arc_challenge,C,C,correct,loglikelihood
Mercury_7166425,bigscience/bloom-3b,arc_challenge,D,B,wrong,loglikelihood
MDSA_2007_8_3,bigscience/bloom-3b,arc_challenge,D,A,wrong,loglikelihood
Mercury_7094290,bigscience/bloom-3b,arc_challenge,D,C,wrong,loglikelihood
Mercury_7186568,bigscience/bloom-3b,arc_challenge,D,B,wrong,loglikelihood
Mercury_402216,bigscience/bloom-3b,arc_challenge,B,B,correct,loglikelihood
Mercury_404894,bigscience/bloom-3b,arc_challenge,C,A,wrong,loglikelihood
MCAS_2002_8_11,bigscience/bloom-3b,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_405086,bigscience/bloom-3b,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_408324,bigscience/bloom-3b,arc_challenge,B,D,wrong,loglikelihood
Mercury_7218820,bigscience/bloom-3b,arc_challenge,C,B,wrong,loglikelihood
Mercury_412202,bigscience/bloom-3b,arc_challenge,A,B,wrong,loglikelihood
Mercury_SC_409139,bigscience/bloom-3b,arc_challenge,B,C,wrong,loglikelihood
Mercury_400687,bigscience/bloom-3b,arc_challenge,A,B,wrong,loglikelihood
Mercury_7171605,bigscience/bloom-3b,arc_challenge,B,D,wrong,loglikelihood
Mercury_7210245,bigscience/bloom-3b,arc_challenge,C,C,correct,loglikelihood
AKDE&ED_2008_4_25,bigscience/bloom-3b,arc_challenge,A,A,correct,loglikelihood
AKDE&ED_2008_4_19,bigscience/bloom-3b,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_400402,bigscience/bloom-3b,arc_challenge,A,A,correct,loglikelihood
Mercury_7234308,bigscience/bloom-3b,arc_challenge,B,A,wrong,loglikelihood
ACTAAP_2014_5_8,bigscience/bloom-3b,arc_challenge,B,B,correct,loglikelihood
Mercury_400407,bigscience/bloom-3b,arc_challenge,C,B,wrong,loglikelihood
Mercury_7116288,bigscience/bloom-3b,arc_challenge,C,C,correct,loglikelihood
MCAS_2004_9_15-v1,bigscience/bloom-3b,arc_challenge,C,B,wrong,loglikelihood
NYSEDREGENTS_2015_4_26,bigscience/bloom-3b,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_401620,bigscience/bloom-3b,arc_challenge,D,A,wrong,loglikelihood
Mercury_400877,bigscience/bloom-3b,arc_challenge,A,C,wrong,loglikelihood
Mercury_7174213,bigscience/bloom-3b,arc_challenge,A,D,wrong,loglikelihood
NYSEDREGENTS_2008_8_34,bigscience/bloom-3b,arc_challenge,B,B,correct,loglikelihood
Mercury_7212398,bigscience/bloom-3b,arc_challenge,D,B,wrong,loglikelihood
Mercury_SC_401290,bigscience/bloom-3b,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_402120,bigscience/bloom-3b,arc_challenge,C,C,correct,loglikelihood
Mercury_184975,bigscience/bloom-3b,arc_challenge,A,C,wrong,loglikelihood
Mercury_SC_400578,bigscience/bloom-3b,arc_challenge,A,A,correct,loglikelihood
MCAS_2001_8_4,bigscience/bloom-3b,arc_challenge,C,D,wrong,loglikelihood
MCAS_2003_5_33,bigscience/bloom-3b,arc_challenge,D,C,wrong,loglikelihood
Mercury_7068513,bigscience/bloom-3b,arc_challenge,D,A,wrong,loglikelihood
AKDE&ED_2008_4_26,bigscience/bloom-3b,arc_challenge,D,C,wrong,loglikelihood
Mercury_7235638,bigscience/bloom-3b,arc_challenge,A,C,wrong,loglikelihood
MDSA_2009_5_20,bigscience/bloom-3b,arc_challenge,C,B,wrong,loglikelihood
Mercury_178325,bigscience/bloom-3b,arc_challenge,C,C,correct,loglikelihood
Mercury_7212678,bigscience/bloom-3b,arc_challenge,B,A,wrong,loglikelihood
TAKS_2009_8_32,bigscience/bloom-3b,arc_challenge,D,A,wrong,loglikelihood
Mercury_412681,bigscience/bloom-3b,arc_challenge,A,C,wrong,loglikelihood
Mercury_400440,bigscience/bloom-3b,arc_challenge,C,D,wrong,loglikelihood
Mercury_SC_416529,bigscience/bloom-3b,arc_challenge,C,B,wrong,loglikelihood
MCAS_2006_8_1,bigscience/bloom-3b,arc_challenge,C,D,wrong,loglikelihood
TIMSS_2003_8_pg80,bigscience/bloom-3b,arc_challenge,C,C,correct,loglikelihood
Mercury_416645,bigscience/bloom-3b,arc_challenge,C,D,wrong,loglikelihood
Mercury_406777,bigscience/bloom-3b,arc_challenge,D,A,wrong,loglikelihood
Mercury_LBS11018,bigscience/bloom-3b,arc_challenge,B,A,wrong,loglikelihood
Mercury_7139878,bigscience/bloom-3b,arc_challenge,A,C,wrong,loglikelihood
Mercury_417147,bigscience/bloom-3b,arc_challenge,D,B,wrong,loglikelihood
Mercury_7016765,bigscience/bloom-3b,arc_challenge,A,A,correct,loglikelihood
Mercury_415303,bigscience/bloom-3b,arc_challenge,A,A,correct,loglikelihood
Mercury_7215845,bigscience/bloom-3b,arc_challenge,D,C,wrong,loglikelihood
Mercury_7136885,bigscience/bloom-3b,arc_challenge,D,B,wrong,loglikelihood
Mercury_SC_400059,bigscience/bloom-3b,arc_challenge,D,D,correct,loglikelihood
Mercury_7044328,bigscience/bloom-3b,arc_challenge,D,D,correct,loglikelihood
MEA_2010_8_1,bigscience/bloom-3b,arc_challenge,D,A,wrong,loglikelihood
Mercury_414099,bigscience/bloom-3b,arc_challenge,D,B,wrong,loglikelihood
Mercury_410807,bigscience/bloom-3b,arc_challenge,C,B,wrong,loglikelihood
Mercury_403234,bigscience/bloom-3b,arc_challenge,D,B,wrong,loglikelihood
Mercury_7011323,bigscience/bloom-3b,arc_challenge,D,A,wrong,loglikelihood
Mercury_7109463,bigscience/bloom-3b,arc_challenge,C,D,wrong,loglikelihood
Mercury_SC_401277,bigscience/bloom-3b,arc_challenge,A,C,wrong,loglikelihood
MCAS_2005_5_25,bigscience/bloom-3b,arc_challenge,B,C,wrong,loglikelihood
Mercury_SC_401272,bigscience/bloom-3b,arc_challenge,D,D,correct,loglikelihood
Mercury_7103600,bigscience/bloom-3b,arc_challenge,D,D,correct,loglikelihood
MDSA_2009_8_2,bigscience/bloom-3b,arc_challenge,A,A,correct,loglikelihood
Mercury_7127943,bigscience/bloom-3b,arc_challenge,A,A,correct,loglikelihood
ACTAAP_2009_7_8,bigscience/bloom-3b,arc_challenge,D,D,correct,loglikelihood
MCAS_2006_9_43,bigscience/bloom-3b,arc_challenge,B,C,wrong,loglikelihood
Mercury_7252088,bigscience/bloom-3b,arc_challenge,D,C,wrong,loglikelihood
Mercury_7084665,bigscience/bloom-3b,arc_challenge,A,A,correct,loglikelihood
FCAT_2008_5_2,bigscience/bloom-3b,arc_challenge,D,D,correct,loglikelihood
Mercury_SC_414041,bigscience/bloom-3b,arc_challenge,C,D,wrong,loglikelihood
MCAS_2014_8_20,bigscience/bloom-3b,arc_challenge,C,A,wrong,loglikelihood
Mercury_SC_401116,bigscience/bloom-3b,arc_challenge,C,B,wrong,loglikelihood
Mercury_7064680,bigscience/bloom-3b,arc_challenge,B,C,wrong,loglikelihood
Mercury_7211680,bigscience/bloom-3b,arc_challenge,C,C,correct,loglikelihood
Mercury_180373,bigscience/bloom-3b,arc_challenge,D,B,wrong,loglikelihood
Mercury_7216248,bigscience/bloom-3b,arc_challenge,A,B,wrong,loglikelihood
Mercury_SC_417677,bigscience/bloom-3b,arc_challenge,B,B,correct,loglikelihood
Mercury_7221655,bigscience/bloom-3b,arc_challenge,B,C,wrong,loglikelihood
MCAS_2006_9_12,bigscience/bloom-3b,arc_challenge,D,D,correct,loglikelihood
MCAS_2004_9_2,bigscience/bloom-3b,arc_challenge,D,A,wrong,loglikelihood
Mercury_180005,bigscience/bloom-3b,arc_challenge,D,B,wrong,loglikelihood
Mercury_7071523,bigscience/bloom-3b,arc_challenge,A,C,wrong,loglikelihood
Mercury_7263375,bigscience/bloom-3b,arc_challenge,A,B,wrong,loglikelihood
TIMSS_2011_8_pg102,bigscience/bloom-3b,arc_challenge,D,D,correct,loglikelihood
Mercury_406550,bigscience/bloom-3b,arc_challenge,A,B,wrong,loglikelihood
Mercury_SC_400057,bigscience/bloom-3b,arc_challenge,A,D,wrong,loglikelihood
TAKS_2009_5_26,bigscience/bloom-3b,arc_challenge,C,A,wrong,loglikelihood
LEAP_2007_8_10417,bigscience/bloom-3b,arc_challenge,C,A,wrong,loglikelihood
Mercury_7027405,bigscience/bloom-3b,arc_challenge,D,A,wrong,loglikelihood
Mercury_7058415,bigscience/bloom-3b,arc_challenge,C,A,wrong,loglikelihood
Mercury_7215828,bigscience/bloom-3b,arc_challenge,C,A,wrong,loglikelihood
Mercury_7064575,bigscience/bloom-3b,arc_challenge,B,B,correct,loglikelihood
Mercury_7097493,bigscience/bloom-3b,arc_challenge,A,D,wrong,loglikelihood
AKDE&ED_2008_8_47,bigscience/bloom-3b,arc_challenge,B,B,correct,loglikelihood
Mercury_405136,bigscience/bloom-3b,arc_challenge,C,C,correct,loglikelihood
Mercury_415086,bigscience/bloom-3b,arc_challenge,A,D,wrong,loglikelihood
Mercury_7228725,bigscience/bloom-3b,arc_challenge,D,C,wrong,loglikelihood
Mercury_7201740,bigscience/bloom-3b,arc_challenge,A,A,correct,loglikelihood
NYSEDREGENTS_2010_4_4,bigscience/bloom-3b,arc_challenge,C,A,wrong,loglikelihood
