question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_7175875,mistralai/Mistral-7B-v0.3,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_409171,mistralai/Mistral-7B-v0.3,arc_challenge,D,B,wrong,loglikelihood
Mercury_SC_408547,mistralai/Mistral-7B-v0.3,arc_challenge,C,C,correct,loglikelihood
Mercury_407327,mistralai/Mistral-7B-v0.3,arc_challenge,D,D,correct,loglikelihood
MCAS_2006_9_44,mistralai/Mistral-7B-v0.3,arc_challenge,B,D,wrong,loglikelihood
Mercury_7270393,mistralai/Mistral-7B-v0.3,arc_challenge,C,B,wrong,loglikelihood
MCAS_2014_5_7,mistralai/Mistral-7B-v0.3,arc_challenge,C,C,correct,loglikelihood
Mercury_7086660,mistralai/Mistral-7B-v0.3,arc_challenge,C,C,correct,loglikelihood
Mercury_7168805,mistralai/Mistral-7B-v0.3,arc_challenge,A,B,wrong,loglikelihood
MCAS_2003_8_11,mistralai/Mistral-7B-v0.3,arc_challenge,A,A,correct,loglikelihood
Mercury_7250058,mistralai/Mistral-7B-v0.3,arc_challenge,C,B,wrong,loglikelihood
Mercury_7012740,mistralai/Mistral-7B-v0.3,arc_challenge,C,A,wrong,loglikelihood
Mercury_LBS10610,mistralai/Mistral-7B-v0.3,arc_challenge,B,C,wrong,loglikelihood
Mercury_SC_407400,mistralai/Mistral-7B-v0.3,arc_challenge,C,C,correct,loglikelihood
Mercury_7212993,mistralai/Mistral-7B-v0.3,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_413240,mistralai/Mistral-7B-v0.3,arc_challenge,A,A,correct,loglikelihood
Mercury_7186358,mistralai/Mistral-7B-v0.3,arc_challenge,B,C,wrong,loglikelihood
Mercury_7166425,mistralai/Mistral-7B-v0.3,arc_challenge,B,B,correct,loglikelihood
MDSA_2007_8_3,mistralai/Mistral-7B-v0.3,arc_challenge,A,A,correct,loglikelihood
Mercury_7094290,mistralai/Mistral-7B-v0.3,arc_challenge,D,C,wrong,loglikelihood
Mercury_7186568,mistralai/Mistral-7B-v0.3,arc_challenge,D,B,wrong,loglikelihood
Mercury_402216,mistralai/Mistral-7B-v0.3,arc_challenge,B,B,correct,loglikelihood
Mercury_404894,mistralai/Mistral-7B-v0.3,arc_challenge,C,A,wrong,loglikelihood
MCAS_2002_8_11,mistralai/Mistral-7B-v0.3,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_405086,mistralai/Mistral-7B-v0.3,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_408324,mistralai/Mistral-7B-v0.3,arc_challenge,D,D,correct,loglikelihood
Mercury_7218820,mistralai/Mistral-7B-v0.3,arc_challenge,B,B,correct,loglikelihood
Mercury_412202,mistralai/Mistral-7B-v0.3,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_409139,mistralai/Mistral-7B-v0.3,arc_challenge,D,C,wrong,loglikelihood
Mercury_400687,mistralai/Mistral-7B-v0.3,arc_challenge,B,B,correct,loglikelihood
Mercury_7171605,mistralai/Mistral-7B-v0.3,arc_challenge,D,D,correct,loglikelihood
Mercury_7210245,mistralai/Mistral-7B-v0.3,arc_challenge,C,C,correct,loglikelihood
AKDE&ED_2008_4_25,mistralai/Mistral-7B-v0.3,arc_challenge,A,A,correct,loglikelihood
AKDE&ED_2008_4_19,mistralai/Mistral-7B-v0.3,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_400402,mistralai/Mistral-7B-v0.3,arc_challenge,D,A,wrong,loglikelihood
Mercury_7234308,mistralai/Mistral-7B-v0.3,arc_challenge,B,A,wrong,loglikelihood
ACTAAP_2014_5_8,mistralai/Mistral-7B-v0.3,arc_challenge,D,B,wrong,loglikelihood
Mercury_400407,mistralai/Mistral-7B-v0.3,arc_challenge,C,B,wrong,loglikelihood
Mercury_7116288,mistralai/Mistral-7B-v0.3,arc_challenge,D,C,wrong,loglikelihood
MCAS_2004_9_15-v1,mistralai/Mistral-7B-v0.3,arc_challenge,B,B,correct,loglikelihood
NYSEDREGENTS_2015_4_26,mistralai/Mistral-7B-v0.3,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_401620,mistralai/Mistral-7B-v0.3,arc_challenge,D,A,wrong,loglikelihood
Mercury_400877,mistralai/Mistral-7B-v0.3,arc_challenge,C,C,correct,loglikelihood
Mercury_7174213,mistralai/Mistral-7B-v0.3,arc_challenge,B,D,wrong,loglikelihood
