question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_7175875,lmsys/vicuna-7b-v1.5,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_409171,lmsys/vicuna-7b-v1.5,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_408547,lmsys/vicuna-7b-v1.5,arc_challenge,B,C,wrong,loglikelihood
Mercury_407327,lmsys/vicuna-7b-v1.5,arc_challenge,D,D,correct,loglikelihood
MCAS_2006_9_44,lmsys/vicuna-7b-v1.5,arc_challenge,B,D,wrong,loglikelihood
Mercury_7270393,lmsys/vicuna-7b-v1.5,arc_challenge,C,B,wrong,loglikelihood
MCAS_2014_5_7,lmsys/vicuna-7b-v1.5,arc_challenge,C,C,correct,loglikelihood
Mercury_7086660,lmsys/vicuna-7b-v1.5,arc_challenge,C,C,correct,loglikelihood
Mercury_7168805,lmsys/vicuna-7b-v1.5,arc_challenge,A,B,wrong,loglikelihood
MCAS_2003_8_11,lmsys/vicuna-7b-v1.5,arc_challenge,C,A,wrong,loglikelihood
Mercury_7250058,lmsys/vicuna-7b-v1.5,arc_challenge,C,B,wrong,loglikelihood
Mercury_7012740,lmsys/vicuna-7b-v1.5,arc_challenge,C,A,wrong,loglikelihood
Mercury_LBS10610,lmsys/vicuna-7b-v1.5,arc_challenge,B,C,wrong,loglikelihood
Mercury_SC_407400,lmsys/vicuna-7b-v1.5,arc_challenge,D,C,wrong,loglikelihood
Mercury_7212993,lmsys/vicuna-7b-v1.5,arc_challenge,D,C,wrong,loglikelihood
Mercury_SC_413240,lmsys/vicuna-7b-v1.5,arc_challenge,A,A,correct,loglikelihood
Mercury_7186358,lmsys/vicuna-7b-v1.5,arc_challenge,B,C,wrong,loglikelihood
Mercury_7166425,lmsys/vicuna-7b-v1.5,arc_challenge,A,B,wrong,loglikelihood
MDSA_2007_8_3,lmsys/vicuna-7b-v1.5,arc_challenge,A,A,correct,loglikelihood
Mercury_7094290,lmsys/vicuna-7b-v1.5,arc_challenge,D,C,wrong,loglikelihood
Mercury_7186568,lmsys/vicuna-7b-v1.5,arc_challenge,C,B,wrong,loglikelihood
Mercury_402216,lmsys/vicuna-7b-v1.5,arc_challenge,B,B,correct,loglikelihood
Mercury_404894,lmsys/vicuna-7b-v1.5,arc_challenge,D,A,wrong,loglikelihood
MCAS_2002_8_11,lmsys/vicuna-7b-v1.5,arc_challenge,B,C,wrong,loglikelihood
Mercury_SC_405086,lmsys/vicuna-7b-v1.5,arc_challenge,B,B,correct,loglikelihood
Mercury_SC_408324,lmsys/vicuna-7b-v1.5,arc_challenge,B,D,wrong,loglikelihood
Mercury_7218820,lmsys/vicuna-7b-v1.5,arc_challenge,C,B,wrong,loglikelihood
Mercury_412202,lmsys/vicuna-7b-v1.5,arc_challenge,A,B,wrong,loglikelihood
Mercury_SC_409139,lmsys/vicuna-7b-v1.5,arc_challenge,C,C,correct,loglikelihood
Mercury_400687,lmsys/vicuna-7b-v1.5,arc_challenge,B,B,correct,loglikelihood
Mercury_7171605,lmsys/vicuna-7b-v1.5,arc_challenge,D,D,correct,loglikelihood
Mercury_7210245,lmsys/vicuna-7b-v1.5,arc_challenge,C,C,correct,loglikelihood
AKDE&ED_2008_4_25,lmsys/vicuna-7b-v1.5,arc_challenge,A,A,correct,loglikelihood
AKDE&ED_2008_4_19,lmsys/vicuna-7b-v1.5,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_400402,lmsys/vicuna-7b-v1.5,arc_challenge,A,A,correct,loglikelihood
Mercury_7234308,lmsys/vicuna-7b-v1.5,arc_challenge,B,A,wrong,loglikelihood
ACTAAP_2014_5_8,lmsys/vicuna-7b-v1.5,arc_challenge,A,B,wrong,loglikelihood
Mercury_400407,lmsys/vicuna-7b-v1.5,arc_challenge,C,B,wrong,loglikelihood
Mercury_7116288,lmsys/vicuna-7b-v1.5,arc_challenge,C,C,correct,loglikelihood
MCAS_2004_9_15-v1,lmsys/vicuna-7b-v1.5,arc_challenge,B,B,correct,loglikelihood
NYSEDREGENTS_2015_4_26,lmsys/vicuna-7b-v1.5,arc_challenge,C,C,correct,loglikelihood
Mercury_SC_401620,lmsys/vicuna-7b-v1.5,arc_challenge,D,A,wrong,loglikelihood
Mercury_400877,lmsys/vicuna-7b-v1.5,arc_challenge,A,C,wrong,loglikelihood
Mercury_7174213,lmsys/vicuna-7b-v1.5,arc_challenge,B,D,wrong,loglikelihood
