question_id,model,benchmark,predicted,gold,result,scoring_method
pedagogy_0,argilla/notus-7b-v1,pedagogy,C,D,wrong,loglikelihood
pedagogy_1,argilla/notus-7b-v1,pedagogy,D,C,wrong,loglikelihood
pedagogy_2,argilla/notus-7b-v1,pedagogy,D,B,wrong,loglikelihood
pedagogy_3,argilla/notus-7b-v1,pedagogy,A,D,wrong,loglikelihood
pedagogy_4,argilla/notus-7b-v1,pedagogy,B,A,wrong,loglikelihood
pedagogy_5,argilla/notus-7b-v1,pedagogy,B,D,wrong,loglikelihood
pedagogy_6,argilla/notus-7b-v1,pedagogy,A,C,wrong,loglikelihood
pedagogy_7,argilla/notus-7b-v1,pedagogy,C,A,wrong,loglikelihood
pedagogy_8,argilla/notus-7b-v1,pedagogy,D,D,correct,loglikelihood
pedagogy_9,argilla/notus-7b-v1,pedagogy,B,B,correct,loglikelihood
pedagogy_10,argilla/notus-7b-v1,pedagogy,C,C,correct,loglikelihood
pedagogy_11,argilla/notus-7b-v1,pedagogy,B,A,wrong,loglikelihood
pedagogy_12,argilla/notus-7b-v1,pedagogy,B,B,correct,loglikelihood
pedagogy_13,argilla/notus-7b-v1,pedagogy,A,D,wrong,loglikelihood
pedagogy_14,argilla/notus-7b-v1,pedagogy,A,D,wrong,loglikelihood
pedagogy_15,argilla/notus-7b-v1,pedagogy,C,A,wrong,loglikelihood
pedagogy_16,argilla/notus-7b-v1,pedagogy,A,B,wrong,loglikelihood
pedagogy_17,argilla/notus-7b-v1,pedagogy,D,D,correct,loglikelihood
pedagogy_18,argilla/notus-7b-v1,pedagogy,C,B,wrong,loglikelihood
pedagogy_19,argilla/notus-7b-v1,pedagogy,D,D,correct,loglikelihood
pedagogy_20,argilla/notus-7b-v1,pedagogy,A,A,correct,loglikelihood
pedagogy_21,argilla/notus-7b-v1,pedagogy,C,C,correct,loglikelihood
pedagogy_22,argilla/notus-7b-v1,pedagogy,B,B,correct,loglikelihood
pedagogy_23,argilla/notus-7b-v1,pedagogy,B,D,wrong,loglikelihood
pedagogy_24,argilla/notus-7b-v1,pedagogy,A,A,correct,loglikelihood
pedagogy_25,argilla/notus-7b-v1,pedagogy,D,D,correct,loglikelihood
pedagogy_26,argilla/notus-7b-v1,pedagogy,C,D,wrong,loglikelihood
pedagogy_27,argilla/notus-7b-v1,pedagogy,C,C,correct,loglikelihood
pedagogy_28,argilla/notus-7b-v1,pedagogy,D,D,correct,loglikelihood
pedagogy_29,argilla/notus-7b-v1,pedagogy,D,A,wrong,loglikelihood
pedagogy_30,argilla/notus-7b-v1,pedagogy,B,B,correct,loglikelihood
pedagogy_31,argilla/notus-7b-v1,pedagogy,D,C,wrong,loglikelihood
pedagogy_32,argilla/notus-7b-v1,pedagogy,D,B,wrong,loglikelihood
pedagogy_33,argilla/notus-7b-v1,pedagogy,C,B,wrong,loglikelihood
pedagogy_34,argilla/notus-7b-v1,pedagogy,D,B,wrong,loglikelihood
pedagogy_35,argilla/notus-7b-v1,pedagogy,C,D,wrong,loglikelihood
pedagogy_36,argilla/notus-7b-v1,pedagogy,C,C,correct,loglikelihood
pedagogy_37,argilla/notus-7b-v1,pedagogy,A,A,correct,loglikelihood
pedagogy_38,argilla/notus-7b-v1,pedagogy,C,B,wrong,loglikelihood
pedagogy_39,argilla/notus-7b-v1,pedagogy,B,C,wrong,loglikelihood
pedagogy_40,argilla/notus-7b-v1,pedagogy,D,C,wrong,loglikelihood
pedagogy_41,argilla/notus-7b-v1,pedagogy,D,C,wrong,loglikelihood
pedagogy_42,argilla/notus-7b-v1,pedagogy,A,B,wrong,loglikelihood
pedagogy_43,argilla/notus-7b-v1,pedagogy,D,D,correct,loglikelihood
pedagogy_44,argilla/notus-7b-v1,pedagogy,B,C,wrong,loglikelihood
pedagogy_45,argilla/notus-7b-v1,pedagogy,D,B,wrong,loglikelihood
pedagogy_46,argilla/notus-7b-v1,pedagogy,A,C,wrong,loglikelihood
pedagogy_47,argilla/notus-7b-v1,pedagogy,B,B,correct,loglikelihood
pedagogy_48,argilla/notus-7b-v1,pedagogy,C,C,correct,loglikelihood
pedagogy_49,argilla/notus-7b-v1,pedagogy,A,C,wrong,loglikelihood
pedagogy_50,argilla/notus-7b-v1,pedagogy,A,C,wrong,loglikelihood
