question_id,model,benchmark,predicted,gold,result,scoring_method
pedagogy_0,Intel/neural-chat-7b-v3-2,pedagogy,C,D,wrong,loglikelihood
pedagogy_1,Intel/neural-chat-7b-v3-2,pedagogy,D,C,wrong,loglikelihood
pedagogy_2,Intel/neural-chat-7b-v3-2,pedagogy,D,B,wrong,loglikelihood
pedagogy_3,Intel/neural-chat-7b-v3-2,pedagogy,C,D,wrong,loglikelihood
pedagogy_4,Intel/neural-chat-7b-v3-2,pedagogy,B,A,wrong,loglikelihood
pedagogy_5,Intel/neural-chat-7b-v3-2,pedagogy,B,D,wrong,loglikelihood
pedagogy_6,Intel/neural-chat-7b-v3-2,pedagogy,A,C,wrong,loglikelihood
pedagogy_7,Intel/neural-chat-7b-v3-2,pedagogy,A,A,correct,loglikelihood
pedagogy_8,Intel/neural-chat-7b-v3-2,pedagogy,B,D,wrong,loglikelihood
pedagogy_9,Intel/neural-chat-7b-v3-2,pedagogy,B,B,correct,loglikelihood
pedagogy_10,Intel/neural-chat-7b-v3-2,pedagogy,C,C,correct,loglikelihood
pedagogy_11,Intel/neural-chat-7b-v3-2,pedagogy,B,A,wrong,loglikelihood
pedagogy_12,Intel/neural-chat-7b-v3-2,pedagogy,B,B,correct,loglikelihood
pedagogy_13,Intel/neural-chat-7b-v3-2,pedagogy,D,D,correct,loglikelihood
pedagogy_14,Intel/neural-chat-7b-v3-2,pedagogy,A,D,wrong,loglikelihood
pedagogy_15,Intel/neural-chat-7b-v3-2,pedagogy,D,A,wrong,loglikelihood
pedagogy_16,Intel/neural-chat-7b-v3-2,pedagogy,A,B,wrong,loglikelihood
pedagogy_17,Intel/neural-chat-7b-v3-2,pedagogy,D,D,correct,loglikelihood
pedagogy_18,Intel/neural-chat-7b-v3-2,pedagogy,C,B,wrong,loglikelihood
pedagogy_19,Intel/neural-chat-7b-v3-2,pedagogy,D,D,correct,loglikelihood
pedagogy_20,Intel/neural-chat-7b-v3-2,pedagogy,A,A,correct,loglikelihood
pedagogy_21,Intel/neural-chat-7b-v3-2,pedagogy,B,C,wrong,loglikelihood
pedagogy_22,Intel/neural-chat-7b-v3-2,pedagogy,D,B,wrong,loglikelihood
pedagogy_23,Intel/neural-chat-7b-v3-2,pedagogy,B,D,wrong,loglikelihood
pedagogy_24,Intel/neural-chat-7b-v3-2,pedagogy,C,A,wrong,loglikelihood
pedagogy_25,Intel/neural-chat-7b-v3-2,pedagogy,A,D,wrong,loglikelihood
pedagogy_26,Intel/neural-chat-7b-v3-2,pedagogy,D,D,correct,loglikelihood
pedagogy_27,Intel/neural-chat-7b-v3-2,pedagogy,D,C,wrong,loglikelihood
pedagogy_28,Intel/neural-chat-7b-v3-2,pedagogy,D,D,correct,loglikelihood
pedagogy_29,Intel/neural-chat-7b-v3-2,pedagogy,D,A,wrong,loglikelihood
pedagogy_30,Intel/neural-chat-7b-v3-2,pedagogy,B,B,correct,loglikelihood
pedagogy_31,Intel/neural-chat-7b-v3-2,pedagogy,C,C,correct,loglikelihood
pedagogy_32,Intel/neural-chat-7b-v3-2,pedagogy,B,B,correct,loglikelihood
pedagogy_33,Intel/neural-chat-7b-v3-2,pedagogy,C,B,wrong,loglikelihood
pedagogy_34,Intel/neural-chat-7b-v3-2,pedagogy,C,B,wrong,loglikelihood
pedagogy_35,Intel/neural-chat-7b-v3-2,pedagogy,C,D,wrong,loglikelihood
pedagogy_36,Intel/neural-chat-7b-v3-2,pedagogy,C,C,correct,loglikelihood
pedagogy_37,Intel/neural-chat-7b-v3-2,pedagogy,A,A,correct,loglikelihood
pedagogy_38,Intel/neural-chat-7b-v3-2,pedagogy,C,B,wrong,loglikelihood
pedagogy_39,Intel/neural-chat-7b-v3-2,pedagogy,B,C,wrong,loglikelihood
pedagogy_40,Intel/neural-chat-7b-v3-2,pedagogy,D,C,wrong,loglikelihood
pedagogy_41,Intel/neural-chat-7b-v3-2,pedagogy,B,C,wrong,loglikelihood
pedagogy_42,Intel/neural-chat-7b-v3-2,pedagogy,A,B,wrong,loglikelihood
pedagogy_43,Intel/neural-chat-7b-v3-2,pedagogy,A,D,wrong,loglikelihood
pedagogy_44,Intel/neural-chat-7b-v3-2,pedagogy,C,C,correct,loglikelihood
pedagogy_45,Intel/neural-chat-7b-v3-2,pedagogy,D,B,wrong,loglikelihood
pedagogy_46,Intel/neural-chat-7b-v3-2,pedagogy,A,C,wrong,loglikelihood
pedagogy_47,Intel/neural-chat-7b-v3-2,pedagogy,B,B,correct,loglikelihood
pedagogy_48,Intel/neural-chat-7b-v3-2,pedagogy,C,C,correct,loglikelihood
pedagogy_49,Intel/neural-chat-7b-v3-2,pedagogy,A,C,wrong,loglikelihood
pedagogy_50,Intel/neural-chat-7b-v3-2,pedagogy,A,C,wrong,loglikelihood
pedagogy_51,Intel/neural-chat-7b-v3-2,pedagogy,A,A,correct,loglikelihood
pedagogy_52,Intel/neural-chat-7b-v3-2,pedagogy,B,C,wrong,loglikelihood
pedagogy_53,Intel/neural-chat-7b-v3-2,pedagogy,D,C,wrong,loglikelihood
pedagogy_54,Intel/neural-chat-7b-v3-2,pedagogy,B,A,wrong,loglikelihood
pedagogy_55,Intel/neural-chat-7b-v3-2,pedagogy,C,C,correct,loglikelihood
pedagogy_56,Intel/neural-chat-7b-v3-2,pedagogy,A,B,wrong,loglikelihood
pedagogy_57,Intel/neural-chat-7b-v3-2,pedagogy,B,C,wrong,loglikelihood
pedagogy_58,Intel/neural-chat-7b-v3-2,pedagogy,B,C,wrong,loglikelihood
pedagogy_59,Intel/neural-chat-7b-v3-2,pedagogy,B,B,correct,loglikelihood
pedagogy_60,Intel/neural-chat-7b-v3-2,pedagogy,D,C,wrong,loglikelihood
pedagogy_61,Intel/neural-chat-7b-v3-2,pedagogy,A,A,correct,loglikelihood
pedagogy_62,Intel/neural-chat-7b-v3-2,pedagogy,B,A,wrong,loglikelihood
pedagogy_63,Intel/neural-chat-7b-v3-2,pedagogy,D,D,correct,loglikelihood
pedagogy_64,Intel/neural-chat-7b-v3-2,pedagogy,B,D,wrong,loglikelihood
pedagogy_65,Intel/neural-chat-7b-v3-2,pedagogy,A,C,wrong,loglikelihood
pedagogy_66,Intel/neural-chat-7b-v3-2,pedagogy,C,C,correct,loglikelihood
pedagogy_67,Intel/neural-chat-7b-v3-2,pedagogy,C,B,wrong,loglikelihood
