"reviewer","criterion_id","content","diagnosis","scaffolding","primary_skill","confidence","notes"
"B","tb_0620_c05","0","0","1","scaffolding","high",""
"B","tb_0125_c01","0","0","0","none","medium",""
"B","tb_0016_c04","1","0","0","content","medium",""
"B","tb_0569_c08","0","0","1","scaffolding","high",""
"B","tb_0240_c07","1","0","0","content","low",""
"B","tb_0215_c05","1","0","0","content","medium",""
"B","tb_0091_c06","1","0","0","content","high",""
"B","tb_0162_c06","1","1","0","content","low",""
"B","tb_0615_c06","1","0","1","scaffolding","medium",""
"B","tb_0120_c02","0","1","0","diagnosis","low",""
"B","tb_0576_c05","0","0","1","scaffolding","medium",""
"B","tb_0433_c05","1","0","0","content","high",""
"B","tb_0056_c06","1","0","0","content","low",""
"B","tb_0020_c07","1","0","0","content","medium",""
"B","tb_0129_c01","0","1","0","diagnosis","low",""
"B","tb_0554_c02","0","0","1","scaffolding","medium",""
"B","tb_0550_c04","0","0","1","scaffolding","high",""
"B","tb_0546_c07","0","1","0","diagnosis","medium",""
"B","tb_0582_c01","0","0","1","scaffolding","high",""
"B","tb_0378_c14","0","0","0","none","medium",""
