atlas_idx,question_id
1,hellaswag-val-9792
2,hellaswag-val-1027
3,hellaswag-val-5366
4,hellaswag-val-615
5,hellaswag-val-5402
6,hellaswag-val-477
7,hellaswag-val-955
8,hellaswag-val-6124
9,hellaswag-val-509
10,hellaswag-val-9823
11,hellaswag-val-7153
12,hellaswag-val-4765
13,hellaswag-val-3008
14,hellaswag-val-5604
15,hellaswag-val-9817
16,hellaswag-val-2813
17,hellaswag-val-4418
18,hellaswag-val-2233
19,hellaswag-val-2598
20,hellaswag-val-8775
21,hellaswag-val-4950
22,hellaswag-val-7582
23,hellaswag-val-1970
24,hellaswag-val-7515
25,hellaswag-val-7095
26,hellaswag-val-5137
27,hellaswag-val-5899
28,hellaswag-val-6533
29,hellaswag-val-8969
30,hellaswag-val-2528
31,hellaswag-val-4251
32,hellaswag-val-5597
33,hellaswag-val-3009
34,hellaswag-val-1613
35,hellaswag-val-1603
36,hellaswag-val-7339
37,hellaswag-val-8522
38,hellaswag-val-2919
39,hellaswag-val-4162
40,hellaswag-val-5893
41,hellaswag-val-7710
42,hellaswag-val-9397
43,hellaswag-val-4075
44,hellaswag-val-4775
45,hellaswag-val-9258
46,hellaswag-val-9077
47,hellaswag-val-7005
48,hellaswag-val-5782
49,hellaswag-val-2321
50,hellaswag-val-6385
51,hellaswag-val-2130
52,hellaswag-val-5790
53,hellaswag-val-5674
54,hellaswag-val-4762
55,hellaswag-val-2474
56,hellaswag-val-3210
57,hellaswag-val-7418
58,hellaswag-val-8836
59,hellaswag-val-5532
60,hellaswag-val-7475
61,hellaswag-val-6780
62,hellaswag-val-813
63,hellaswag-val-8110
64,hellaswag-val-3818
65,hellaswag-val-7797
66,hellaswag-val-4069
67,hellaswag-val-7094
68,hellaswag-val-8696
69,hellaswag-val-4317
70,hellaswag-val-3860
71,hellaswag-val-913
72,hellaswag-val-1472
73,hellaswag-val-7421
74,hellaswag-val-9775
75,hellaswag-val-2097
76,hellaswag-val-4084
77,hellaswag-val-124
78,hellaswag-val-8380
79,hellaswag-val-8504
80,hellaswag-val-4946
81,hellaswag-val-1547
82,hellaswag-val-768
83,hellaswag-val-8503
84,hellaswag-val-5795
85,hellaswag-val-650
86,hellaswag-val-5346
87,hellaswag-val-6928
88,hellaswag-val-2799
89,hellaswag-val-5110
90,hellaswag-val-8118
91,hellaswag-val-526
92,hellaswag-val-6300
93,hellaswag-val-7084
94,hellaswag-val-5955
95,hellaswag-val-4260
96,hellaswag-val-8730
97,hellaswag-val-5357
98,hellaswag-val-147
99,hellaswag-val-871
100,hellaswag-val-6956
101,hellaswag-val-5141
102,hellaswag-val-389
103,hellaswag-val-9311
104,hellaswag-val-7881
105,hellaswag-val-1114
106,hellaswag-val-8124
107,hellaswag-val-5943
108,hellaswag-val-8039
109,hellaswag-val-7039
110,hellaswag-val-5073
111,hellaswag-val-9974
112,hellaswag-val-2774
113,hellaswag-val-9322
114,hellaswag-val-4570
115,hellaswag-val-2484
116,hellaswag-val-3794
117,hellaswag-val-7243
118,hellaswag-val-8720
119,hellaswag-val-9330
120,hellaswag-val-6170
121,hellaswag-val-9434
122,hellaswag-val-418
123,hellaswag-val-4798
124,hellaswag-val-6161
125,hellaswag-val-8360
126,hellaswag-val-281
127,hellaswag-val-6601
128,hellaswag-val-2722
129,hellaswag-val-9407
130,hellaswag-val-680
131,hellaswag-val-3600
132,hellaswag-val-3902
133,hellaswag-val-682
134,hellaswag-val-5702
135,hellaswag-val-9884
136,hellaswag-val-4926
137,hellaswag-val-4177
138,hellaswag-val-9697
139,hellaswag-val-2830
140,hellaswag-val-5347
141,hellaswag-val-9941
142,hellaswag-val-10026
143,hellaswag-val-2452
144,hellaswag-val-8123
145,hellaswag-val-1073
146,hellaswag-val-6799
147,hellaswag-val-666
148,hellaswag-val-6370
149,hellaswag-val-4091
150,hellaswag-val-1005
151,hellaswag-val-3625
152,hellaswag-val-8349
153,hellaswag-val-5100
154,hellaswag-val-7620
155,hellaswag-val-9286
156,hellaswag-val-4546
157,hellaswag-val-4158
158,hellaswag-val-8515
159,hellaswag-val-6060
160,hellaswag-val-6468
161,hellaswag-val-1947
162,hellaswag-val-6568
163,hellaswag-val-7
164,hellaswag-val-704
165,hellaswag-val-8737
166,hellaswag-val-6143
167,hellaswag-val-7487
168,hellaswag-val-8003
169,hellaswag-val-5416
170,hellaswag-val-1596
171,hellaswag-val-3561
172,hellaswag-val-1021
173,hellaswag-val-4541
174,hellaswag-val-574
175,hellaswag-val-6102
176,hellaswag-val-457
177,hellaswag-val-988
178,hellaswag-val-3506
179,hellaswag-val-9949
180,hellaswag-val-8867
181,hellaswag-val-4
182,hellaswag-val-1589
183,hellaswag-val-1400
184,hellaswag-val-9846
185,hellaswag-val-6193
186,hellaswag-val-6140
187,hellaswag-val-82
188,hellaswag-val-169
189,hellaswag-val-4974
190,hellaswag-val-388
191,hellaswag-val-3418
192,hellaswag-val-2000
193,hellaswag-val-2542
194,hellaswag-val-7208
195,hellaswag-val-2405
196,hellaswag-val-2769
197,hellaswag-val-5954
198,hellaswag-val-6752
199,hellaswag-val-3162
200,hellaswag-val-9646
201,hellaswag-val-1038
202,hellaswag-val-7924
203,hellaswag-val-5607
204,hellaswag-val-1648
205,hellaswag-val-9833
206,hellaswag-val-7644
207,hellaswag-val-3462
208,hellaswag-val-7160
209,hellaswag-val-3813
210,hellaswag-val-1183
211,hellaswag-val-1845
212,hellaswag-val-4525
213,hellaswag-val-2723
214,hellaswag-val-8077
215,hellaswag-val-7961
216,hellaswag-val-1505
217,hellaswag-val-4062
218,hellaswag-val-5032
219,hellaswag-val-1815
220,hellaswag-val-4259
221,hellaswag-val-6739
222,hellaswag-val-1590
223,hellaswag-val-2497
224,hellaswag-val-9919
225,hellaswag-val-3907
226,hellaswag-val-4434
227,hellaswag-val-324
228,hellaswag-val-3779
229,hellaswag-val-6852
230,hellaswag-val-4125
231,hellaswag-val-8876
232,hellaswag-val-918
233,hellaswag-val-8261
234,hellaswag-val-1287
235,hellaswag-val-6452
236,hellaswag-val-7559
237,hellaswag-val-4256
238,hellaswag-val-361
239,hellaswag-val-9847
240,hellaswag-val-9804
241,hellaswag-val-2622
242,hellaswag-val-9296
243,hellaswag-val-6858
244,hellaswag-val-1740
245,hellaswag-val-9151
246,hellaswag-val-2328
247,hellaswag-val-8262
248,hellaswag-val-1241
249,hellaswag-val-6694
250,hellaswag-val-1157
251,hellaswag-val-7826
252,hellaswag-val-8718
253,hellaswag-val-6555
254,hellaswag-val-9328
255,hellaswag-val-5097
256,hellaswag-val-640
257,hellaswag-val-7109
258,hellaswag-val-2779
259,hellaswag-val-7751
260,hellaswag-val-6673
261,hellaswag-val-2270
262,hellaswag-val-8414
263,hellaswag-val-428
264,hellaswag-val-8990
265,hellaswag-val-5146
266,hellaswag-val-2734
267,hellaswag-val-10003
268,hellaswag-val-9188
269,hellaswag-val-7393
270,hellaswag-val-7158
271,hellaswag-val-7891
272,hellaswag-val-10001
273,hellaswag-val-7314
274,hellaswag-val-1508
275,hellaswag-val-2558
276,hellaswag-val-8126
277,hellaswag-val-1738
278,hellaswag-val-9807
279,hellaswag-val-8444
280,hellaswag-val-10024
281,hellaswag-val-9118
282,hellaswag-val-3713
283,hellaswag-val-4908
284,hellaswag-val-1772
285,hellaswag-val-6756
286,hellaswag-val-6414
287,hellaswag-val-1659
288,hellaswag-val-3789
289,hellaswag-val-1253
290,hellaswag-val-4300
291,hellaswag-val-3677
292,hellaswag-val-6313
293,hellaswag-val-3877
294,hellaswag-val-3716
295,hellaswag-val-313
296,hellaswag-val-5106
297,hellaswag-val-6679
298,hellaswag-val-8120
299,hellaswag-val-9391
300,hellaswag-val-9973
301,hellaswag-val-383
302,hellaswag-val-5176
303,hellaswag-val-917
304,hellaswag-val-1642
305,hellaswag-val-7236
306,hellaswag-val-5619
307,hellaswag-val-5846
308,hellaswag-val-8278
309,hellaswag-val-9735
310,hellaswag-val-2823
311,hellaswag-val-9261
312,hellaswag-val-4468
313,hellaswag-val-5130
314,hellaswag-val-2668
315,hellaswag-val-3845
316,hellaswag-val-9308
317,hellaswag-val-2829
318,hellaswag-val-2362
319,hellaswag-val-6419
320,hellaswag-val-8328
321,hellaswag-val-3979
322,hellaswag-val-7453
323,hellaswag-val-8578
324,hellaswag-val-2736
325,hellaswag-val-1649
326,hellaswag-val-9386
327,hellaswag-val-8580
328,hellaswag-val-7360
329,hellaswag-val-8594
330,hellaswag-val-7741
331,hellaswag-val-5025
332,hellaswag-val-5389
333,hellaswag-val-10022
334,hellaswag-val-3229
335,hellaswag-val-227
336,hellaswag-val-1274
337,hellaswag-val-2760
338,hellaswag-val-2786
339,hellaswag-val-7315
340,hellaswag-val-4439
341,hellaswag-val-1028
342,hellaswag-val-3400
343,hellaswag-val-9376
344,hellaswag-val-9185
345,hellaswag-val-7072
346,hellaswag-val-8100
347,hellaswag-val-5388
348,hellaswag-val-4665
349,hellaswag-val-3398
350,hellaswag-val-516
351,hellaswag-val-8960
352,hellaswag-val-6595
353,hellaswag-val-9349
354,hellaswag-val-3445
355,hellaswag-val-1142
356,hellaswag-val-4108
357,hellaswag-val-5730
358,hellaswag-val-8324
359,hellaswag-val-63
360,hellaswag-val-1890
361,hellaswag-val-4576
362,hellaswag-val-9700
